"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769915, SEN S/N: 20769915)","Y Accel, g (LGR S/N: 20769915, SEN S/N: 20769915)","Z Accel, g (LGR S/N: 20769915, SEN S/N: 20769915)","Sum Vector, g (LGR S/N: 20769915, SEN S/N: 20769915)","X Tilt, ° (LGR S/N: 20769915, SEN S/N: 20769915)","Y Tilt, ° (LGR S/N: 20769915, SEN S/N: 20769915)","Z Tilt, ° (LGR S/N: 20769915, SEN S/N: 20769915)","End Of File (LGR S/N: 20769915)"
1,04/16/21 01:00:00 PM,-0.200,-0.575,-0.875,1.066,78.5,54.9,29.0,
2,04/16/21 01:00:30 PM,-0.200,-0.625,-0.875,1.094,78.5,51.3,29.0,
3,04/16/21 01:01:00 PM,-0.200,-0.625,-0.875,1.094,78.5,51.3,29.0,
4,04/16/21 01:01:30 PM,-0.200,-0.625,-0.925,1.134,78.5,51.3,22.3,
5,04/16/21 01:02:00 PM,-0.200,-0.600,-0.900,1.100,78.5,53.1,25.8,
6,04/16/21 01:02:30 PM,0.075,-0.225,-1.025,1.052,94.3,77.0,0.0,
7,04/16/21 01:03:00 PM,0.150,0.000,-1.025,1.036,98.6,90.0,0.0,
8,04/16/21 01:03:30 PM,0.125,-0.250,-1.025,1.062,97.2,75.5,0.0,
9,04/16/21 01:04:00 PM,0.125,-0.250,-1.050,1.087,97.2,75.5,0.0,
10,04/16/21 01:04:30 PM,0.125,-0.225,-1.050,1.081,97.2,77.0,0.0,
11,04/16/21 01:05:00 PM,0.100,-0.225,-1.025,1.054,95.7,77.0,0.0,
12,04/16/21 01:05:30 PM,0.125,-0.225,-1.050,1.081,97.2,77.0,0.0,
13,04/16/21 01:06:00 PM,0.125,-0.225,-1.025,1.057,97.2,77.0,0.0,
14,04/16/21 01:06:30 PM,0.125,-0.225,-1.050,1.081,97.2,77.0,0.0,
15,04/16/21 01:07:00 PM,0.125,-0.225,-1.050,1.081,97.2,77.0,0.0,
