"Plot Title: B "
"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769906, SEN S/N: 20769906)","Y Accel, g (LGR S/N: 20769906, SEN S/N: 20769906)","Z Accel, g (LGR S/N: 20769906, SEN S/N: 20769906)","Sum Vector, g (LGR S/N: 20769906, SEN S/N: 20769906)","X Tilt, ° (LGR S/N: 20769906, SEN S/N: 20769906)","Y Tilt, ° (LGR S/N: 20769906, SEN S/N: 20769906)","Z Tilt, ° (LGR S/N: 20769906, SEN S/N: 20769906)","End Of File (LGR S/N: 20769906)"
1,04/16/21 01:00:00 PM,0.275,0.150,0.875,0.929,106.0,98.6,151.0,
2,04/16/21 01:00:30 PM,0.300,0.150,0.875,0.937,107.5,98.6,151.0,
3,04/16/21 01:01:00 PM,0.300,0.150,0.875,0.937,107.5,98.6,151.0,
4,04/16/21 01:01:30 PM,0.275,0.150,0.875,0.929,106.0,98.6,151.0,
5,04/16/21 01:02:00 PM,0.275,0.150,0.875,0.929,106.0,98.6,151.0,
6,04/16/21 01:02:30 PM,0.275,0.175,0.875,0.934,106.0,100.1,151.0,
7,04/16/21 01:03:00 PM,0.300,0.150,0.875,0.937,107.5,98.6,151.0,
8,04/16/21 01:03:30 PM,-0.375,0.175,0.875,0.968,68.0,100.1,151.0,
9,04/16/21 01:04:00 PM,-0.400,0.175,0.875,0.978,66.4,100.1,151.0,
10,04/16/21 01:04:30 PM,-0.350,0.175,0.875,0.959,69.5,100.1,151.0,
11,04/16/21 01:05:00 PM,-0.350,0.175,0.875,0.959,69.5,100.1,151.0,
12,04/16/21 01:05:30 PM,-0.375,0.175,0.875,0.968,68.0,100.1,151.0,
13,04/16/21 01:06:00 PM,-0.375,0.175,0.875,0.968,68.0,100.1,151.0,
14,04/16/21 01:06:30 PM,-0.375,0.175,0.875,0.968,68.0,100.1,151.0,
15,04/16/21 01:07:00 PM,-0.325,0.175,0.875,0.950,71.0,100.1,151.0,
16,04/16/21 01:07:30 PM,-0.325,0.175,0.875,0.950,71.0,100.1,151.0,
17,04/16/21 01:08:00 PM,-0.325,0.175,0.875,0.950,71.0,100.1,151.0,
18,04/16/21 01:08:30 PM,-0.325,0.175,0.875,0.950,71.0,100.1,151.0,
19,04/16/21 01:09:00 PM,-0.325,0.175,0.875,0.950,71.0,100.1,151.0,
20,04/16/21 01:09:30 PM,-0.350,0.175,0.875,0.959,69.5,100.1,151.0,
21,04/16/21 01:10:00 PM,-0.350,0.175,0.875,0.959,69.5,100.1,151.0,
22,04/16/21 01:10:30 PM,-0.350,0.175,0.875,0.959,69.5,100.1,151.0,
