"Plot Title: D"
"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 10216797, SEN S/N: 10216797)","Y Accel, g (LGR S/N: 10216797, SEN S/N: 10216797)","Z Accel, g (LGR S/N: 10216797, SEN S/N: 10216797)","Sum Vector, g (LGR S/N: 10216797, SEN S/N: 10216797)","X Tilt, ° (LGR S/N: 10216797, SEN S/N: 10216797)","Y Tilt, ° (LGR S/N: 10216797, SEN S/N: 10216797)","Z Tilt, ° (LGR S/N: 10216797, SEN S/N: 10216797)","End Of File (LGR S/N: 10216797)"
1,04/16/21 01:00:00 PM,0.125,-0.200,0.875,0.906,97.2,78.5,151.0,
2,04/16/21 01:00:30 PM,0.125,-0.200,0.875,0.906,97.2,78.5,151.0,
3,04/16/21 01:01:00 PM,0.125,-0.200,0.875,0.906,97.2,78.5,151.0,
4,04/16/21 01:01:30 PM,0.125,-0.200,0.875,0.906,97.2,78.5,151.0,
5,04/16/21 01:02:00 PM,0.125,-0.075,0.875,0.887,97.2,85.7,151.0,
6,04/16/21 01:02:30 PM,-0.225,-0.375,0.825,0.934,77.0,68.0,145.6,
7,04/16/21 01:03:00 PM,-0.200,-0.325,0.825,0.909,78.5,71.0,145.6,
8,04/16/21 01:03:30 PM,-0.225,-0.175,0.850,0.897,77.0,79.9,148.2,
9,04/16/21 01:04:00 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
10,04/16/21 01:04:30 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
11,04/16/21 01:05:00 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
12,04/16/21 01:05:30 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
13,04/16/21 01:06:00 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
14,04/16/21 01:06:30 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
15,04/16/21 01:07:00 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
16,04/16/21 01:07:30 PM,-0.225,-0.150,0.875,0.916,77.0,81.4,151.0,
17,04/16/21 01:08:00 PM,-0.200,-0.175,0.875,0.914,78.5,79.9,151.0,
18,04/16/21 01:08:30 PM,-0.225,-0.125,0.875,0.912,77.0,82.8,151.0,
19,04/16/21 01:09:00 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
20,04/16/21 01:09:30 PM,-0.200,-0.175,0.875,0.914,78.5,79.9,151.0,
21,04/16/21 01:10:00 PM,-0.200,-0.175,0.875,0.914,78.5,79.9,151.0,
22,04/16/21 01:10:30 PM,-0.200,-0.175,0.875,0.914,78.5,79.9,151.0,
23,04/16/21 01:11:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
24,04/16/21 01:11:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
25,04/16/21 01:12:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
26,04/16/21 01:12:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
27,04/16/21 01:13:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
28,04/16/21 01:13:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
29,04/16/21 01:14:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
30,04/16/21 01:14:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
31,04/16/21 01:15:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
32,04/16/21 01:15:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
33,04/16/21 01:16:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
34,04/16/21 01:16:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
35,04/16/21 01:17:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
36,04/16/21 01:17:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
37,04/16/21 01:18:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
38,04/16/21 01:18:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
39,04/16/21 01:19:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
40,04/16/21 01:19:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
41,04/16/21 01:20:00 PM,-0.175,-0.175,0.875,0.909,79.9,79.9,151.0,
42,04/16/21 01:20:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
43,04/16/21 01:21:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
44,04/16/21 01:21:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
45,04/16/21 01:22:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
46,04/16/21 01:22:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
47,04/16/21 01:23:00 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
48,04/16/21 01:23:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
49,04/16/21 01:24:00 PM,-0.225,-0.200,0.875,0.925,77.0,78.5,151.0,
50,04/16/21 01:24:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
51,04/16/21 01:25:00 PM,-0.175,-0.175,0.875,0.909,79.9,79.9,151.0,
52,04/16/21 01:25:30 PM,-0.175,-0.200,0.875,0.914,79.9,78.5,151.0,
53,04/16/21 01:26:00 PM,-0.175,-0.175,0.875,0.909,79.9,79.9,151.0,
54,04/16/21 01:26:30 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
55,04/16/21 01:27:00 PM,-0.225,-0.200,0.875,0.925,77.0,78.5,151.0,
56,04/16/21 01:27:30 PM,-0.225,-0.175,0.875,0.920,77.0,79.9,151.0,
