"Plot Title: U"
"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 10461629, SEN S/N: 10461629)","Y Accel, g (LGR S/N: 10461629, SEN S/N: 10461629)","Z Accel, g (LGR S/N: 10461629, SEN S/N: 10461629)","Sum Vector, g (LGR S/N: 10461629, SEN S/N: 10461629)","X Tilt, ° (LGR S/N: 10461629, SEN S/N: 10461629)","Y Tilt, ° (LGR S/N: 10461629, SEN S/N: 10461629)","Z Tilt, ° (LGR S/N: 10461629, SEN S/N: 10461629)","End Of File (LGR S/N: 10461629)"
1,04/16/21 01:00:00 PM,0.150,-0.100,0.875,0.893,98.6,84.3,151.0,
2,04/16/21 01:00:30 PM,0.125,-0.100,0.875,0.890,97.2,84.3,151.0,
3,04/16/21 01:01:00 PM,0.125,-0.100,0.875,0.890,97.2,84.3,151.0,
4,04/16/21 01:01:30 PM,0.125,-0.100,0.875,0.890,97.2,84.3,151.0,
5,04/16/21 01:02:00 PM,0.125,-0.100,0.875,0.890,97.2,84.3,151.0,
6,04/16/21 01:02:30 PM,0.125,-0.150,0.875,0.897,97.2,81.4,151.0,
7,04/16/21 01:03:00 PM,-0.025,0.175,0.825,0.844,88.6,100.1,145.6,
8,04/16/21 01:03:30 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
9,04/16/21 01:04:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
10,04/16/21 01:04:30 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
11,04/16/21 01:05:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
12,04/16/21 01:05:30 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
13,04/16/21 01:06:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
14,04/16/21 01:06:30 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
15,04/16/21 01:07:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
16,04/16/21 01:07:30 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
17,04/16/21 01:08:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
18,04/16/21 01:08:30 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
19,04/16/21 01:09:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
20,04/16/21 01:09:30 PM,0.050,0.050,0.900,0.903,92.9,92.9,154.2,
21,04/16/21 01:10:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
22,04/16/21 01:10:30 PM,0.050,0.025,0.875,0.877,92.9,91.4,151.0,
23,04/16/21 01:11:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
24,04/16/21 01:11:30 PM,0.050,0.025,0.875,0.877,92.9,91.4,151.0,
25,04/16/21 01:12:00 PM,0.050,0.025,0.900,0.902,92.9,91.4,154.2,
26,04/16/21 01:12:30 PM,0.050,0.025,0.875,0.877,92.9,91.4,151.0,
27,04/16/21 01:13:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
28,04/16/21 01:13:30 PM,0.050,0.025,0.900,0.902,92.9,91.4,154.2,
29,04/16/21 01:14:00 PM,0.050,0.025,0.900,0.902,92.9,91.4,154.2,
30,04/16/21 01:14:30 PM,0.050,0.025,0.875,0.877,92.9,91.4,151.0,
31,04/16/21 01:15:00 PM,0.050,0.050,0.875,0.878,92.9,92.9,151.0,
32,04/16/21 01:15:30 PM,0.050,0.025,0.900,0.902,92.9,91.4,154.2,
33,04/16/21 01:16:00 PM,0.050,0.025,0.875,0.877,92.9,91.4,151.0,
34,04/16/21 01:16:30 PM,0.050,0.025,0.875,0.877,92.9,91.4,151.0,
35,04/16/21 01:17:00 PM,0.050,0.025,0.875,0.877,92.9,91.4,151.0,
36,04/16/21 01:17:30 PM,0.075,0.025,0.875,0.879,94.3,91.4,151.0,
37,04/16/21 01:18:00 PM,0.050,0.025,0.875,0.877,92.9,91.4,151.0,
38,04/16/21 01:18:30 PM,0.050,0.000,0.875,0.876,92.9,90.0,151.0,
39,04/16/21 01:19:00 PM,0.050,0.025,0.875,0.877,92.9,91.4,151.0,
40,04/16/21 01:19:30 PM,0.075,0.025,0.875,0.879,94.3,91.4,151.0,
41,04/16/21 01:20:00 PM,0.075,0.000,0.875,0.878,94.3,90.0,151.0,
42,04/16/21 01:20:30 PM,0.075,0.000,0.875,0.878,94.3,90.0,151.0,
43,04/16/21 01:21:00 PM,0.075,0.000,0.875,0.878,94.3,90.0,151.0,
44,04/16/21 01:21:30 PM,0.075,0.000,0.900,0.903,94.3,90.0,154.2,
45,04/16/21 01:22:00 PM,0.050,0.000,0.875,0.876,92.9,90.0,151.0,
46,04/16/21 01:22:30 PM,0.075,0.000,0.875,0.878,94.3,90.0,151.0,
47,04/16/21 01:23:00 PM,0.075,0.000,0.900,0.903,94.3,90.0,154.2,
48,04/16/21 01:23:30 PM,0.075,0.000,0.875,0.878,94.3,90.0,151.0,
49,04/16/21 01:24:00 PM,0.075,0.000,0.875,0.878,94.3,90.0,151.0,
50,04/16/21 01:24:30 PM,0.075,0.000,0.900,0.903,94.3,90.0,154.2,
51,04/16/21 01:25:00 PM,0.100,-0.125,0.875,0.890,95.7,82.8,151.0,
52,04/16/21 01:25:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
53,04/16/21 01:26:00 PM,0.100,-0.125,0.875,0.890,95.7,82.8,151.0,
54,04/16/21 01:26:30 PM,0.100,-0.125,0.875,0.890,95.7,82.8,151.0,
55,04/16/21 01:27:00 PM,0.100,-0.125,0.875,0.890,95.7,82.8,151.0,
56,04/16/21 01:27:30 PM,0.100,-0.125,0.875,0.890,95.7,82.8,151.0,
57,04/16/21 01:28:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
58,04/16/21 01:28:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
59,04/16/21 01:29:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
60,04/16/21 01:29:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
61,04/16/21 01:30:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
62,04/16/21 01:30:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
63,04/16/21 01:31:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
64,04/16/21 01:31:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
65,04/16/21 01:32:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
66,04/16/21 01:32:30 PM,0.125,-0.175,0.875,0.901,97.2,79.9,151.0,
67,04/16/21 01:33:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
68,04/16/21 01:33:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
69,04/16/21 01:34:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
70,04/16/21 01:34:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
71,04/16/21 01:35:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
72,04/16/21 01:35:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
73,04/16/21 01:36:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
74,04/16/21 01:36:30 PM,0.125,-0.150,0.875,0.897,97.2,81.4,151.0,
75,04/16/21 01:37:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
76,04/16/21 01:37:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
77,04/16/21 01:38:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
78,04/16/21 01:38:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
79,04/16/21 01:39:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
80,04/16/21 01:39:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
81,04/16/21 01:40:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
82,04/16/21 01:40:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
83,04/16/21 01:41:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
84,04/16/21 01:41:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
85,04/16/21 01:42:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
86,04/16/21 01:42:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
87,04/16/21 01:43:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
88,04/16/21 01:43:30 PM,0.125,-0.150,0.875,0.897,97.2,81.4,151.0,
89,04/16/21 01:44:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
90,04/16/21 01:44:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
91,04/16/21 01:45:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
92,04/16/21 01:45:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
93,04/16/21 01:46:00 PM,0.100,-0.200,0.875,0.903,95.7,78.5,151.0,
94,04/16/21 01:46:30 PM,0.125,-0.150,0.875,0.897,97.2,81.4,151.0,
95,04/16/21 01:47:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
96,04/16/21 01:47:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
97,04/16/21 01:48:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
98,04/16/21 01:48:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
99,04/16/21 01:49:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
100,04/16/21 01:49:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
101,04/16/21 01:50:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
102,04/16/21 01:50:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
103,04/16/21 01:51:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
104,04/16/21 01:51:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
105,04/16/21 01:52:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
106,04/16/21 01:52:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
107,04/16/21 01:53:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
108,04/16/21 01:53:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
109,04/16/21 01:54:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
110,04/16/21 01:54:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
111,04/16/21 01:55:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
112,04/16/21 01:55:30 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
113,04/16/21 01:56:00 PM,0.100,-0.150,0.875,0.893,95.7,81.4,151.0,
114,04/16/21 01:56:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
115,04/16/21 01:57:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
116,04/16/21 01:57:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
117,04/16/21 01:58:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
118,04/16/21 01:58:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
119,04/16/21 01:59:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
120,04/16/21 01:59:30 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
121,04/16/21 02:00:00 PM,0.100,-0.175,0.875,0.898,95.7,79.9,151.0,
122,04/16/21 02:00:30 PM,0.100,-0.125,0.875,0.890,95.7,82.8,151.0,
123,04/16/21 02:01:00 PM,0.000,-0.550,0.725,0.910,90.0,56.6,136.5,
124,04/16/21 02:01:30 PM,-0.975,0.025,0.025,0.976,12.8,91.4,91.4,
125,04/16/21 02:02:00 PM,-1.050,-0.575,-0.375,1.254,0.0,54.9,68.0,
126,04/16/21 02:02:30 PM,-1.000,0.075,-0.100,1.008,0.0,94.3,84.3,
127,04/16/21 02:03:00 PM,-1.000,0.075,-0.175,1.018,0.0,94.3,79.9,
128,04/16/21 02:03:30 PM,-1.000,0.025,-0.125,1.008,0.0,91.4,82.8,
129,04/16/21 02:04:00 PM,-1.050,-0.150,-0.150,1.071,0.0,81.4,81.4,
130,04/16/21 02:04:30 PM,-1.000,0.025,-0.125,1.008,0.0,91.4,82.8,
131,04/16/21 02:05:00 PM,-1.000,0.025,-0.175,1.016,0.0,91.4,79.9,
132,04/16/21 02:05:30 PM,-0.975,0.075,-0.025,0.978,12.8,94.3,88.6,
133,04/16/21 02:06:00 PM,-1.025,0.100,-0.125,1.037,0.0,95.7,82.8,
134,04/16/21 02:06:30 PM,-1.025,0.075,-0.125,1.035,0.0,94.3,82.8,
135,04/16/21 02:07:00 PM,-1.000,-0.050,-0.150,1.012,0.0,87.1,81.4,
136,04/16/21 02:07:30 PM,-1.000,-0.100,-0.175,1.020,0.0,84.3,79.9,
137,04/16/21 02:08:00 PM,-1.025,-0.100,-0.025,1.030,0.0,84.3,88.6,
138,04/16/21 02:08:30 PM,-1.025,-0.175,-0.100,1.045,0.0,79.9,84.3,
139,04/16/21 02:09:00 PM,-1.025,0.050,-0.075,1.029,0.0,92.9,85.7,
140,04/16/21 02:09:30 PM,-1.025,0.025,-0.125,1.033,0.0,91.4,82.8,
141,04/16/21 02:10:00 PM,-1.000,-0.025,-0.100,1.005,0.0,88.6,84.3,
142,04/16/21 02:10:30 PM,-1.025,-0.100,0.025,1.030,0.0,84.3,91.4,
143,04/16/21 02:11:00 PM,-1.025,-0.075,-0.025,1.028,0.0,85.7,88.6,
144,04/16/21 02:11:30 PM,-1.000,-0.075,-0.100,1.008,0.0,85.7,84.3,
145,04/16/21 02:12:00 PM,-1.000,-0.125,-0.125,1.016,0.0,82.8,82.8,
