"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769905, SEN S/N: 20769905)","Y Accel, g (LGR S/N: 20769905, SEN S/N: 20769905)","Z Accel, g (LGR S/N: 20769905, SEN S/N: 20769905)","Sum Vector, g (LGR S/N: 20769905, SEN S/N: 20769905)","X Tilt, ° (LGR S/N: 20769905, SEN S/N: 20769905)","Y Tilt, ° (LGR S/N: 20769905, SEN S/N: 20769905)","Z Tilt, ° (LGR S/N: 20769905, SEN S/N: 20769905)","End Of File (LGR S/N: 20769905)"
1,04/16/21 02:00:00 PM,0.150,-0.250,-1.225,1.259,98.6,75.5,0.0,
2,04/16/21 02:00:30 PM,0.300,-0.125,-1.050,1.099,107.5,82.8,0.0,
3,04/16/21 02:01:00 PM,0.100,-0.025,0.925,0.931,95.7,88.6,157.7,
4,04/16/21 02:01:30 PM,0.125,-0.750,-0.675,1.017,97.2,41.4,47.5,
5,04/16/21 02:02:00 PM,0.600,-0.500,0.725,1.066,126.9,60.0,136.5,
6,04/16/21 02:02:30 PM,-1.050,-0.100,-0.100,1.059,0.0,84.3,84.3,
7,04/16/21 02:03:00 PM,-1.050,-0.100,0.000,1.055,0.0,84.3,90.0,
8,04/16/21 02:03:30 PM,-1.025,-0.200,-0.100,1.049,0.0,78.5,84.3,
9,04/16/21 02:04:00 PM,-1.025,-0.175,-0.125,1.047,0.0,79.9,82.8,
10,04/16/21 02:04:30 PM,-1.025,-0.175,-0.150,1.051,0.0,79.9,81.4,
11,04/16/21 02:05:00 PM,-1.025,-0.150,-0.150,1.047,0.0,81.4,81.4,
12,04/16/21 02:05:30 PM,-1.025,-0.125,-0.075,1.035,0.0,82.8,85.7,
13,04/16/21 02:06:00 PM,-1.050,0.125,-0.175,1.072,0.0,97.2,79.9,
14,04/16/21 02:06:30 PM,-1.025,-0.150,-0.050,1.037,0.0,81.4,87.1,
15,04/16/21 02:07:00 PM,-1.050,-0.325,-0.200,1.117,0.0,71.0,78.5,
16,04/16/21 02:07:30 PM,-1.025,-0.025,-0.100,1.030,0.0,88.6,84.3,
17,04/16/21 02:08:00 PM,-1.025,-0.225,-0.075,1.052,0.0,77.0,85.7,
18,04/16/21 02:08:30 PM,-1.025,-0.250,-0.125,1.062,0.0,75.5,82.8,
19,04/16/21 02:09:00 PM,-1.025,-0.250,-0.175,1.069,0.0,75.5,79.9,
20,04/16/21 02:09:30 PM,-1.025,0.025,-0.150,1.036,0.0,91.4,81.4,
21,04/16/21 02:10:00 PM,-0.950,-0.250,0.600,1.151,18.2,75.5,126.9,
22,04/16/21 02:10:30 PM,-1.025,-0.250,-0.100,1.060,0.0,75.5,84.3,
23,04/16/21 02:11:00 PM,-1.025,-0.200,-0.100,1.049,0.0,78.5,84.3,
24,04/16/21 02:11:30 PM,-1.025,-0.225,-0.125,1.057,0.0,77.0,82.8,
25,04/16/21 02:12:00 PM,-1.025,-0.200,-0.150,1.055,0.0,78.5,81.4,
26,04/16/21 02:12:30 PM,-1.025,-0.250,-0.075,1.058,0.0,75.5,85.7,
27,04/16/21 02:13:00 PM,-1.050,-0.475,-0.075,1.155,0.0,61.6,85.7,
28,04/16/21 02:13:30 PM,-1.075,-0.275,0.025,1.110,0.0,74.0,91.4,
