"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769903, SEN S/N: 20769903)","Y Accel, g (LGR S/N: 20769903, SEN S/N: 20769903)","Z Accel, g (LGR S/N: 20769903, SEN S/N: 20769903)","Sum Vector, g (LGR S/N: 20769903, SEN S/N: 20769903)","X Tilt, ° (LGR S/N: 20769903, SEN S/N: 20769903)","Y Tilt, ° (LGR S/N: 20769903, SEN S/N: 20769903)","Z Tilt, ° (LGR S/N: 20769903, SEN S/N: 20769903)","End Of File (LGR S/N: 20769903)"
1,04/16/21 02:00:00 PM,-0.200,-0.100,-1.050,1.074,78.5,84.3,0.0,
2,04/16/21 02:00:30 PM,-0.200,-0.050,-1.050,1.070,78.5,87.1,0.0,
3,04/16/21 02:01:00 PM,-0.200,-0.050,-1.025,1.046,78.5,87.1,0.0,
4,04/16/21 02:01:30 PM,-0.250,-0.075,-1.025,1.058,75.5,85.7,0.0,
5,04/16/21 02:02:00 PM,-0.650,-0.375,0.800,1.097,49.5,68.0,143.1,
6,04/16/21 02:02:30 PM,-0.850,-0.500,0.175,1.002,31.8,60.0,100.1,
7,04/16/21 02:03:00 PM,-0.375,-0.325,0.875,1.006,68.0,71.0,151.0,
8,04/16/21 02:03:30 PM,-0.125,0.700,-0.750,1.034,82.8,134.4,41.4,
9,04/16/21 02:04:00 PM,-0.075,0.625,-0.775,0.998,85.7,128.7,39.2,
10,04/16/21 02:04:30 PM,-0.100,0.575,-0.850,1.031,84.3,125.1,31.8,
11,04/16/21 02:05:00 PM,-0.875,-0.300,-0.625,1.116,29.0,72.5,51.3,
12,04/16/21 02:05:30 PM,-0.850,-0.725,-0.125,1.124,31.8,43.5,82.8,
13,04/16/21 02:06:00 PM,0.150,-1.025,0.125,1.043,98.6,0.0,97.2,
14,04/16/21 02:06:30 PM,0.150,-1.050,0.100,1.065,98.6,0.0,95.7,
15,04/16/21 02:07:00 PM,0.100,-1.025,0.050,1.031,95.7,0.0,92.9,
16,04/16/21 02:07:30 PM,-0.250,-0.825,0.550,1.023,75.5,34.4,123.4,
17,04/16/21 02:08:00 PM,-0.850,0.375,0.450,1.032,31.8,112.0,116.7,
18,04/16/21 02:08:30 PM,-1.225,-0.400,0.300,1.323,0.0,66.4,107.5,
19,04/16/21 02:09:00 PM,-1.075,0.025,0.125,1.083,0.0,91.4,97.2,
20,04/16/21 02:09:30 PM,-1.025,0.050,0.175,1.041,0.0,92.9,100.1,
21,04/16/21 02:10:00 PM,-1.050,-0.225,0.050,1.075,0.0,77.0,92.9,
22,04/16/21 02:10:30 PM,-1.025,-0.150,0.075,1.039,0.0,81.4,94.3,
23,04/16/21 02:11:00 PM,-1.075,-0.100,-0.050,1.081,0.0,84.3,87.1,
24,04/16/21 02:11:30 PM,-1.100,-0.050,-0.125,1.108,0.0,87.1,82.8,
