"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769900, SEN S/N: 20769900)","Y Accel, g (LGR S/N: 20769900, SEN S/N: 20769900)","Z Accel, g (LGR S/N: 20769900, SEN S/N: 20769900)","Sum Vector, g (LGR S/N: 20769900, SEN S/N: 20769900)","X Tilt, ° (LGR S/N: 20769900, SEN S/N: 20769900)","Y Tilt, ° (LGR S/N: 20769900, SEN S/N: 20769900)","Z Tilt, ° (LGR S/N: 20769900, SEN S/N: 20769900)","End Of File (LGR S/N: 20769900)"
1,04/16/21 02:00:00 PM,-0.125,-0.250,0.975,1.014,82.8,75.5,167.2,
2,04/16/21 02:00:30 PM,-0.100,-0.250,0.975,1.011,84.3,75.5,167.2,
3,04/16/21 02:01:00 PM,-0.125,-0.275,0.950,0.997,82.8,74.0,161.8,
4,04/16/21 02:01:30 PM,-0.100,-0.300,0.975,1.025,84.3,72.5,167.2,
5,04/16/21 02:02:00 PM,0.000,-0.300,0.900,0.949,90.0,72.5,154.2,
6,04/16/21 02:02:30 PM,-0.400,-0.625,0.600,0.954,66.4,51.3,126.9,
7,04/16/21 02:03:00 PM,0.150,0.075,-1.025,1.039,98.6,94.3,0.0,
8,04/16/21 02:03:30 PM,0.075,-0.075,0.975,0.981,94.3,85.7,167.2,
9,04/16/21 02:04:00 PM,0.075,-0.050,0.975,0.979,94.3,87.1,167.2,
10,04/16/21 02:04:30 PM,0.075,-0.050,0.975,0.979,94.3,87.1,167.2,
11,04/16/21 02:05:00 PM,-0.400,-0.675,0.575,0.973,66.4,47.5,125.1,
12,04/16/21 02:05:30 PM,-0.625,-0.200,0.700,0.959,51.3,78.5,134.4,
13,04/16/21 02:06:00 PM,-1.050,-0.375,0.150,1.125,0.0,68.0,98.6,
14,04/16/21 02:06:30 PM,-0.775,-0.525,0.100,0.941,39.2,58.3,95.7,
15,04/16/21 02:07:00 PM,-1.050,-0.225,-0.075,1.076,0.0,77.0,85.7,
16,04/16/21 02:07:30 PM,-1.025,-0.075,0.025,1.028,0.0,85.7,91.4,
17,04/16/21 02:08:00 PM,-1.025,-0.150,0.075,1.039,0.0,81.4,94.3,
18,04/16/21 02:08:30 PM,-1.000,0.075,0.150,1.014,0.0,94.3,98.6,
19,04/16/21 02:09:00 PM,-1.000,-0.175,0.150,1.026,0.0,79.9,98.6,
20,04/16/21 02:09:30 PM,-2.975,-0.725,-1.025,3.229,0.0,43.5,0.0,
21,04/16/21 02:10:00 PM,-1.000,-0.075,0.175,1.018,0.0,85.7,100.1,
22,04/16/21 02:10:30 PM,-0.975,0.100,0.150,0.992,12.8,95.7,98.6,
23,04/16/21 02:11:00 PM,-1.000,0.050,0.100,1.006,0.0,92.9,95.7,
24,04/16/21 02:11:30 PM,-0.900,-0.550,-0.150,1.065,25.8,56.6,81.4,
25,04/16/21 02:12:00 PM,-1.050,0.050,0.050,1.052,0.0,92.9,92.9,
26,04/16/21 02:12:30 PM,-1.025,-0.275,-0.125,1.069,0.0,74.0,82.8,
27,04/16/21 02:13:00 PM,-1.025,-0.050,0.000,1.026,0.0,87.1,90.0,
28,04/16/21 02:13:30 PM,-1.025,-0.125,-0.025,1.033,0.0,82.8,88.6,
29,04/16/21 02:14:00 PM,-1.025,-0.125,0.000,1.033,0.0,82.8,90.0,
30,04/16/21 02:14:30 PM,-1.025,-0.175,-0.025,1.040,0.0,79.9,88.6,
31,04/16/21 02:15:00 PM,-1.025,0.075,-0.125,1.035,0.0,94.3,82.8,
32,04/16/21 02:15:30 PM,-1.000,0.025,-0.225,1.025,0.0,91.4,77.0,
33,04/16/21 02:16:00 PM,-1.025,0.025,-0.050,1.027,0.0,91.4,87.1,
34,04/16/21 02:16:30 PM,-1.025,-0.025,0.025,1.026,0.0,88.6,91.4,
35,04/16/21 02:17:00 PM,-1.000,0.050,0.075,1.004,0.0,92.9,94.3,
36,04/16/21 02:17:30 PM,-1.025,0.050,-0.075,1.029,0.0,92.9,85.7,
37,04/16/21 02:18:00 PM,-1.025,-0.100,0.050,1.031,0.0,84.3,92.9,
38,04/16/21 02:18:30 PM,-1.025,-0.075,-0.075,1.030,0.0,85.7,85.7,
39,04/16/21 02:19:00 PM,-1.000,-0.175,0.275,1.052,0.0,79.9,106.0,
40,04/16/21 02:19:30 PM,-0.925,-0.350,0.300,1.034,22.3,69.5,107.5,
41,04/16/21 02:20:00 PM,-1.025,-0.200,0.025,1.045,0.0,78.5,91.4,
42,04/16/21 02:20:30 PM,-1.050,-0.250,0.025,1.080,0.0,75.5,91.4,
43,04/16/21 02:21:00 PM,-1.050,-0.250,0.025,1.080,0.0,75.5,91.4,
44,04/16/21 02:21:30 PM,-1.050,0.050,0.000,1.051,0.0,92.9,90.0,
45,04/16/21 02:22:00 PM,-1.025,0.075,0.000,1.028,0.0,94.3,90.0,
46,04/16/21 02:22:30 PM,-1.025,-0.025,0.050,1.027,0.0,88.6,92.9,
47,04/16/21 02:23:00 PM,-1.025,0.025,0.075,1.028,0.0,91.4,94.3,
48,04/16/21 02:23:30 PM,-1.000,0.050,0.075,1.004,0.0,92.9,94.3,
49,04/16/21 02:24:00 PM,-1.050,0.025,0.075,1.053,0.0,91.4,94.3,
50,04/16/21 02:24:30 PM,-1.050,0.000,0.075,1.053,0.0,90.0,94.3,
51,04/16/21 02:25:00 PM,-1.050,0.050,0.025,1.051,0.0,92.9,91.4,
52,04/16/21 02:25:30 PM,-1.050,0.100,0.025,1.055,0.0,95.7,91.4,
53,04/16/21 02:26:00 PM,-0.975,-0.050,0.025,0.977,12.8,87.1,91.4,
54,04/16/21 02:26:30 PM,-1.050,0.050,0.100,1.056,0.0,92.9,95.7,
55,04/16/21 02:27:00 PM,-1.025,-0.075,-0.050,1.029,0.0,85.7,87.1,
56,04/16/21 02:27:30 PM,-1.025,-0.100,0.025,1.030,0.0,84.3,91.4,
57,04/16/21 02:28:00 PM,-1.025,0.025,0.025,1.026,0.0,91.4,91.4,
58,04/16/21 02:28:30 PM,-1.000,0.100,-0.025,1.005,0.0,95.7,88.6,
59,04/16/21 02:29:00 PM,-1.050,0.025,0.025,1.051,0.0,91.4,91.4,
60,04/16/21 02:29:30 PM,-1.025,0.000,0.025,1.025,0.0,90.0,91.4,
61,04/16/21 02:30:00 PM,-1.025,-0.075,0.000,1.028,0.0,85.7,90.0,
62,04/16/21 02:30:30 PM,-1.100,-0.125,-0.075,1.110,0.0,82.8,85.7,
63,04/16/21 02:31:00 PM,-1.025,-0.025,-0.100,1.030,0.0,88.6,84.3,
64,04/16/21 02:31:30 PM,-1.025,-0.075,0.025,1.028,0.0,85.7,91.4,
65,04/16/21 02:32:00 PM,-1.050,0.050,0.075,1.054,0.0,92.9,94.3,
66,04/16/21 02:32:30 PM,-1.025,-0.025,0.025,1.026,0.0,88.6,91.4,
67,04/16/21 02:33:00 PM,-1.050,0.000,0.075,1.053,0.0,90.0,94.3,
68,04/16/21 02:33:30 PM,-1.025,0.000,0.025,1.025,0.0,90.0,91.4,
69,04/16/21 02:34:00 PM,-1.025,-0.150,0.025,1.036,0.0,81.4,91.4,
70,04/16/21 02:34:30 PM,-1.050,-0.250,0.025,1.080,0.0,75.5,91.4,
71,04/16/21 02:35:00 PM,-1.025,-0.100,-0.025,1.030,0.0,84.3,88.6,
72,04/16/21 02:35:30 PM,-1.050,0.100,0.125,1.062,0.0,95.7,97.2,
73,04/16/21 02:36:00 PM,-1.050,0.025,0.075,1.053,0.0,91.4,94.3,
74,04/16/21 02:36:30 PM,-1.050,0.050,0.050,1.052,0.0,92.9,92.9,
75,04/16/21 02:37:00 PM,-1.025,-0.125,0.025,1.033,0.0,82.8,91.4,
76,04/16/21 02:37:30 PM,-1.025,-0.150,0.025,1.036,0.0,81.4,91.4,
77,04/16/21 02:38:00 PM,-1.025,-0.150,0.000,1.036,0.0,81.4,90.0,
78,04/16/21 02:38:30 PM,-1.025,-0.125,-0.075,1.035,0.0,82.8,85.7,
79,04/16/21 02:39:00 PM,-1.025,-0.175,0.025,1.040,0.0,79.9,91.4,
80,04/16/21 02:39:30 PM,-1.025,0.025,-0.075,1.028,0.0,91.4,85.7,
81,04/16/21 02:40:00 PM,-1.025,-0.100,0.025,1.030,0.0,84.3,91.4,
82,04/16/21 02:40:30 PM,-1.025,-0.125,0.025,1.033,0.0,82.8,91.4,
83,04/16/21 02:41:00 PM,-1.025,-0.175,-0.100,1.045,0.0,79.9,84.3,
84,04/16/21 02:41:30 PM,-1.000,0.475,0.350,1.161,0.0,118.4,110.5,
85,04/16/21 02:42:00 PM,-0.975,0.150,0.150,0.998,12.8,98.6,98.6,
86,04/16/21 02:42:30 PM,-1.050,-0.075,0.025,1.053,0.0,85.7,91.4,
87,04/16/21 02:43:00 PM,-0.925,1.200,0.775,1.702,22.3,180.0,140.8,
88,04/16/21 02:43:30 PM,-1.025,-0.125,0.000,1.033,0.0,82.8,90.0,
89,04/16/21 02:44:00 PM,-1.025,0.200,-0.025,1.045,0.0,101.5,88.6,
90,04/16/21 02:44:30 PM,-1.025,-0.175,-0.050,1.041,0.0,79.9,87.1,
91,04/16/21 02:45:00 PM,-1.025,-0.125,-0.100,1.037,0.0,82.8,84.3,
92,04/16/21 02:45:30 PM,-1.025,0.000,-0.125,1.033,0.0,90.0,82.8,
