"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769912, SEN S/N: 20769912)","Y Accel, g (LGR S/N: 20769912, SEN S/N: 20769912)","Z Accel, g (LGR S/N: 20769912, SEN S/N: 20769912)","Sum Vector, g (LGR S/N: 20769912, SEN S/N: 20769912)","X Tilt, ° (LGR S/N: 20769912, SEN S/N: 20769912)","Y Tilt, ° (LGR S/N: 20769912, SEN S/N: 20769912)","Z Tilt, ° (LGR S/N: 20769912, SEN S/N: 20769912)","End Of File (LGR S/N: 20769912)"
1,04/16/21 02:00:00 PM,-1.000,-0.125,0.050,1.009,0.0,82.8,92.9,
2,04/16/21 02:00:30 PM,-0.400,-0.450,0.875,1.062,66.4,63.3,151.0,
3,04/16/21 02:01:00 PM,-0.375,-0.300,0.950,1.064,68.0,72.5,161.8,
4,04/16/21 02:01:30 PM,-0.350,-0.325,0.975,1.086,69.5,71.0,167.2,
5,04/16/21 02:02:00 PM,-0.400,-0.275,1.125,1.225,66.4,74.0,180.0,
6,04/16/21 02:02:30 PM,-0.625,-0.025,0.900,1.096,51.3,88.6,154.2,
7,04/16/21 02:03:00 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
8,04/16/21 02:03:30 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
9,04/16/21 02:04:00 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
10,04/16/21 02:04:30 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
11,04/16/21 02:05:00 PM,-0.325,0.400,0.775,0.931,71.0,113.6,140.8,
12,04/16/21 02:05:30 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
13,04/16/21 02:06:00 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
14,04/16/21 02:06:30 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
15,04/16/21 02:07:00 PM,0.075,-0.050,1.025,1.029,94.3,87.1,180.0,
16,04/16/21 02:07:30 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
17,04/16/21 02:08:00 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
18,04/16/21 02:08:30 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
19,04/16/21 02:09:00 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
20,04/16/21 02:09:30 PM,0.075,-0.075,1.025,1.030,94.3,85.7,180.0,
21,04/16/21 02:10:00 PM,0.050,-0.025,1.025,1.027,92.9,88.6,180.0,
22,04/16/21 02:10:30 PM,0.050,-0.025,1.025,1.027,92.9,88.6,180.0,
23,04/16/21 02:11:00 PM,0.050,-0.025,1.025,1.027,92.9,88.6,180.0,
24,04/16/21 02:11:30 PM,0.050,-0.025,1.025,1.027,92.9,88.6,180.0,
25,04/16/21 02:12:00 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
26,04/16/21 02:12:30 PM,0.050,-0.025,1.025,1.027,92.9,88.6,180.0,
27,04/16/21 02:13:00 PM,0.050,-0.075,1.025,1.029,92.9,85.7,180.0,
28,04/16/21 02:13:30 PM,-0.400,-0.350,-0.075,0.537,66.4,69.5,85.7,
29,04/16/21 02:14:00 PM,-0.575,0.525,0.925,1.209,54.9,121.7,157.7,
30,04/16/21 02:14:30 PM,-1.075,0.050,0.025,1.076,0.0,92.9,91.4,
31,04/16/21 02:15:00 PM,-1.125,0.000,0.075,1.127,0.0,90.0,94.3,
32,04/16/21 02:15:30 PM,-1.100,-0.125,0.075,1.110,0.0,82.8,94.3,
33,04/16/21 02:16:00 PM,-1.125,-0.025,0.075,1.128,0.0,88.6,94.3,
34,04/16/21 02:16:30 PM,-1.075,-0.225,0.075,1.101,0.0,77.0,94.3,
35,04/16/21 02:17:00 PM,-1.075,0.125,0.075,1.085,0.0,97.2,94.3,
36,04/16/21 02:17:30 PM,-1.075,-0.075,0.150,1.088,0.0,85.7,98.6,
37,04/16/21 02:18:00 PM,-1.075,-0.150,0.175,1.099,0.0,81.4,100.1,
38,04/16/21 02:18:30 PM,-1.050,0.175,0.100,1.069,0.0,100.1,95.7,
39,04/16/21 02:19:00 PM,-1.050,0.175,0.100,1.069,0.0,100.1,95.7,
40,04/16/21 02:19:30 PM,-1.100,0.125,0.075,1.110,0.0,97.2,94.3,
41,04/16/21 02:20:00 PM,-1.075,0.075,0.075,1.080,0.0,94.3,94.3,
42,04/16/21 02:20:30 PM,-1.100,0.175,0.100,1.118,0.0,100.1,95.7,
43,04/16/21 02:21:00 PM,-1.100,-0.025,0.050,1.101,0.0,88.6,92.9,
44,04/16/21 02:21:30 PM,-1.075,-0.150,0.150,1.096,0.0,81.4,98.6,
45,04/16/21 02:22:00 PM,-1.075,0.050,0.125,1.083,0.0,92.9,97.2,
46,04/16/21 02:22:30 PM,-1.100,0.075,0.175,1.116,0.0,94.3,100.1,
47,04/16/21 02:23:00 PM,-1.075,0.025,0.125,1.083,0.0,91.4,97.2,
48,04/16/21 02:23:30 PM,-1.100,-0.025,0.075,1.103,0.0,88.6,94.3,
49,04/16/21 02:24:00 PM,-0.825,0.600,-0.150,1.031,34.4,126.9,81.4,
50,04/16/21 02:24:30 PM,-1.125,0.050,0.150,1.136,0.0,92.9,98.6,
51,04/16/21 02:25:00 PM,-1.100,-0.125,0.075,1.110,0.0,82.8,94.3,
52,04/16/21 02:25:30 PM,-1.100,0.125,0.150,1.117,0.0,97.2,98.6,
53,04/16/21 02:26:00 PM,-1.125,-0.025,0.125,1.132,0.0,88.6,97.2,
54,04/16/21 02:26:30 PM,-2.175,0.100,0.325,2.201,0.0,95.7,109.0,
55,04/16/21 02:27:00 PM,-1.075,-0.150,0.150,1.096,0.0,81.4,98.6,
56,04/16/21 02:27:30 PM,-1.050,-0.200,0.375,1.133,0.0,78.5,112.0,
57,04/16/21 02:28:00 PM,-1.975,1.250,-3.125,3.902,0.0,180.0,0.0,
58,04/16/21 02:28:30 PM,-1.125,0.025,0.075,1.128,0.0,91.4,94.3,
59,04/16/21 02:29:00 PM,-1.125,0.000,0.100,1.129,0.0,90.0,95.7,
60,04/16/21 02:29:30 PM,-1.050,0.225,0.225,1.097,0.0,103.0,103.0,
61,04/16/21 02:30:00 PM,-1.075,0.025,0.150,1.086,0.0,91.4,98.6,
62,04/16/21 02:30:30 PM,-1.100,0.150,0.050,1.111,0.0,98.6,92.9,
63,04/16/21 02:31:00 PM,-1.125,-0.025,0.175,1.139,0.0,88.6,100.1,
64,04/16/21 02:31:30 PM,-1.075,-0.075,0.175,1.092,0.0,85.7,100.1,
65,04/16/21 02:32:00 PM,-1.075,-0.025,0.150,1.086,0.0,88.6,98.6,
66,04/16/21 02:32:30 PM,-1.125,0.025,0.100,1.130,0.0,91.4,95.7,
67,04/16/21 02:33:00 PM,-1.075,0.100,0.075,1.082,0.0,95.7,94.3,
68,04/16/21 02:33:30 PM,-1.125,0.025,0.050,1.126,0.0,91.4,92.9,
69,04/16/21 02:34:00 PM,-1.125,-0.025,0.125,1.132,0.0,88.6,97.2,
70,04/16/21 02:34:30 PM,-1.075,-0.225,0.150,1.108,0.0,77.0,98.6,
71,04/16/21 02:35:00 PM,-1.075,-0.125,0.150,1.093,0.0,82.8,98.6,
72,04/16/21 02:35:30 PM,-0.825,-0.275,-0.350,0.937,34.4,74.0,69.5,
73,04/16/21 02:36:00 PM,-1.125,-0.125,0.100,1.136,0.0,82.8,95.7,
74,04/16/21 02:36:30 PM,-1.100,-0.225,0.025,1.123,0.0,77.0,91.4,
75,04/16/21 02:37:00 PM,-1.100,-0.050,0.250,1.129,0.0,87.1,104.5,
76,04/16/21 02:37:30 PM,-1.075,-0.100,0.150,1.090,0.0,84.3,98.6,
77,04/16/21 02:38:00 PM,-1.050,0.025,0.225,1.074,0.0,91.4,103.0,
78,04/16/21 02:38:30 PM,-1.100,0.025,0.225,1.123,0.0,91.4,103.0,
79,04/16/21 02:39:00 PM,-1.100,-0.250,0.150,1.138,0.0,75.5,98.6,
80,04/16/21 02:39:30 PM,-1.050,0.150,0.150,1.071,0.0,98.6,98.6,
81,04/16/21 02:40:00 PM,-0.950,0.550,-0.100,1.102,18.2,123.4,84.3,
82,04/16/21 02:40:30 PM,-1.100,0.075,0.150,1.113,0.0,94.3,98.6,
83,04/16/21 02:41:00 PM,-1.100,0.175,-0.050,1.115,0.0,100.1,87.1,
84,04/16/21 02:41:30 PM,-1.100,0.175,-0.100,1.118,0.0,100.1,84.3,
85,04/16/21 02:42:00 PM,-1.125,-0.025,0.025,1.126,0.0,88.6,91.4,
86,04/16/21 02:42:30 PM,-1.125,-0.025,0.025,1.126,0.0,88.6,91.4,
87,04/16/21 02:43:00 PM,-1.125,0.025,0.100,1.130,0.0,91.4,95.7,
88,04/16/21 02:43:30 PM,-0.325,0.150,-0.125,0.379,71.0,98.6,82.8,
89,04/16/21 02:44:00 PM,-1.100,0.150,0.025,1.110,0.0,98.6,91.4,
90,04/16/21 02:44:30 PM,-1.100,-0.050,0.100,1.106,0.0,87.1,95.7,
91,04/16/21 02:45:00 PM,-1.075,-0.175,0.125,1.096,0.0,79.9,97.2,
92,04/16/21 02:45:30 PM,-0.975,0.425,-0.150,1.074,12.8,115.2,81.4,
93,04/16/21 02:46:00 PM,-1.075,0.000,0.125,1.082,0.0,90.0,97.2,
94,04/16/21 02:46:30 PM,-1.125,0.000,0.100,1.129,0.0,90.0,95.7,
95,04/16/21 02:47:00 PM,-1.075,-0.100,0.125,1.087,0.0,84.3,97.2,
96,04/16/21 02:47:30 PM,-1.050,0.125,0.000,1.057,0.0,97.2,90.0,
97,04/16/21 02:48:00 PM,-1.100,0.150,-0.025,1.110,0.0,98.6,88.6,
98,04/16/21 02:48:30 PM,-1.150,0.250,-0.450,1.260,0.0,104.5,63.3,
99,04/16/21 02:49:00 PM,-1.125,-0.025,0.050,1.126,0.0,88.6,92.9,
100,04/16/21 02:49:30 PM,-1.125,-0.025,0.050,1.126,0.0,88.6,92.9,
101,04/16/21 02:50:00 PM,-1.100,0.125,-0.025,1.107,0.0,97.2,88.6,
102,04/16/21 02:50:30 PM,-1.700,-2.225,2.475,3.737,0.0,0.0,180.0,
103,04/16/21 02:51:00 PM,-0.925,-0.325,0.450,1.079,22.3,71.0,116.7,
104,04/16/21 02:51:30 PM,-1.100,-0.075,0.075,1.105,0.0,85.7,94.3,
105,04/16/21 02:52:00 PM,-1.025,-0.350,0.200,1.101,0.0,69.5,101.5,
106,04/16/21 02:52:30 PM,-1.075,-0.125,0.300,1.123,0.0,82.8,107.5,
107,04/16/21 02:53:00 PM,-1.100,0.150,0.075,1.113,0.0,98.6,94.3,
108,04/16/21 02:53:30 PM,-1.125,-0.125,0.100,1.136,0.0,82.8,95.7,
109,04/16/21 02:54:00 PM,-1.500,-0.125,-0.475,1.578,0.0,82.8,61.6,
110,04/16/21 02:54:30 PM,-1.125,0.075,0.100,1.132,0.0,94.3,95.7,
111,04/16/21 02:55:00 PM,-1.100,0.000,0.225,1.123,0.0,90.0,103.0,
112,04/16/21 02:55:30 PM,-1.075,-0.225,0.000,1.098,0.0,77.0,90.0,
113,04/16/21 02:56:00 PM,-1.125,0.075,-0.050,1.129,0.0,94.3,87.1,
114,04/16/21 02:56:30 PM,-1.025,-0.050,0.350,1.084,0.0,87.1,110.5,
115,04/16/21 02:57:00 PM,-1.075,0.175,0.100,1.094,0.0,100.1,95.7,
116,04/16/21 02:57:30 PM,-1.050,0.225,-0.025,1.074,0.0,103.0,88.6,
117,04/16/21 02:58:00 PM,-1.075,-0.025,0.075,1.078,0.0,88.6,94.3,
118,04/16/21 02:58:30 PM,-1.075,-0.225,0.175,1.112,0.0,77.0,100.1,
119,04/16/21 02:59:00 PM,-1.175,-0.250,-0.200,1.218,0.0,75.5,78.5,
120,04/16/21 02:59:30 PM,-0.600,1.000,-2.125,2.424,53.1,180.0,0.0,
121,04/16/21 03:00:00 PM,-1.175,0.125,0.025,1.182,0.0,97.2,91.4,
122,04/16/21 03:00:30 PM,-1.075,0.100,0.125,1.087,0.0,95.7,97.2,
123,04/16/21 03:01:00 PM,-1.100,0.000,0.025,1.100,0.0,90.0,91.4,
124,04/16/21 03:01:30 PM,-1.125,0.000,0.100,1.129,0.0,90.0,95.7,
125,04/16/21 03:02:00 PM,-1.100,-0.200,0.125,1.125,0.0,78.5,97.2,
126,04/16/21 03:02:30 PM,-1.125,0.025,-0.025,1.126,0.0,91.4,88.6,
127,04/16/21 03:03:00 PM,-0.150,-1.175,-0.125,1.191,81.4,0.0,82.8,
128,04/16/21 03:03:30 PM,-0.850,1.425,0.075,1.661,31.8,180.0,94.3,
129,04/16/21 03:04:00 PM,-1.125,-0.050,0.150,1.136,0.0,87.1,98.6,
130,04/16/21 03:04:30 PM,-0.900,0.500,-0.175,1.044,25.8,120.0,79.9,
131,04/16/21 03:05:00 PM,-1.075,0.025,0.150,1.086,0.0,91.4,98.6,
132,04/16/21 03:05:30 PM,-1.075,0.025,0.150,1.086,0.0,91.4,98.6,
133,04/16/21 03:06:00 PM,-1.025,-0.275,0.300,1.103,0.0,74.0,107.5,
134,04/16/21 03:06:30 PM,-1.050,-0.175,0.250,1.093,0.0,79.9,104.5,
135,04/16/21 03:07:00 PM,-1.100,0.125,0.100,1.112,0.0,97.2,95.7,
136,04/16/21 03:07:30 PM,-0.625,-0.650,0.350,0.967,51.3,49.5,110.5,
137,04/16/21 03:08:00 PM,-1.100,-0.025,0.000,1.100,0.0,88.6,90.0,
138,04/16/21 03:08:30 PM,-0.875,0.250,0.250,0.944,29.0,104.5,104.5,
139,04/16/21 03:09:00 PM,-0.900,0.550,-0.175,1.069,25.8,123.4,79.9,
140,04/16/21 03:09:30 PM,-1.075,0.100,-0.075,1.082,0.0,95.7,85.7,
141,04/16/21 03:10:00 PM,-1.050,0.225,-0.150,1.084,0.0,103.0,81.4,
142,04/16/21 03:10:30 PM,-2.425,0.100,0.075,2.428,0.0,95.7,94.3,
143,04/16/21 03:11:00 PM,-1.125,0.025,0.125,1.132,0.0,91.4,97.2,
144,04/16/21 03:11:30 PM,-0.900,-0.250,0.550,1.084,25.8,75.5,123.4,
145,04/16/21 03:12:00 PM,-1.100,0.075,0.150,1.113,0.0,94.3,98.6,
146,04/16/21 03:12:30 PM,-1.000,0.425,-0.025,1.087,0.0,115.2,88.6,
147,04/16/21 03:13:00 PM,-0.900,-0.550,-0.025,1.055,25.8,56.6,88.6,
148,04/16/21 03:13:30 PM,-1.075,0.050,0.125,1.083,0.0,92.9,97.2,
149,04/16/21 03:14:00 PM,-1.625,-0.325,1.825,2.465,0.0,71.0,180.0,
150,04/16/21 03:14:30 PM,-1.075,-0.775,1.000,1.660,0.0,39.2,180.0,
151,04/16/21 03:15:00 PM,-1.125,0.050,0.100,1.131,0.0,92.9,95.7,
152,04/16/21 03:15:30 PM,-1.125,0.050,0.050,1.127,0.0,92.9,92.9,
153,04/16/21 03:16:00 PM,-1.125,-0.075,0.100,1.132,0.0,85.7,95.7,
154,04/16/21 03:16:30 PM,-1.125,-0.225,-0.175,1.161,0.0,77.0,79.9,
155,04/16/21 03:17:00 PM,-1.075,0.125,0.075,1.085,0.0,97.2,94.3,
156,04/16/21 03:17:30 PM,-1.125,0.025,0.125,1.132,0.0,91.4,97.2,
157,04/16/21 03:18:00 PM,-1.075,0.100,0.125,1.087,0.0,95.7,97.2,
158,04/16/21 03:18:30 PM,-1.025,-0.225,0.300,1.091,0.0,77.0,107.5,
159,04/16/21 03:19:00 PM,-1.075,0.100,0.050,1.081,0.0,95.7,92.9,
160,04/16/21 03:19:30 PM,-1.100,0.100,0.175,1.118,0.0,95.7,100.1,
161,04/16/21 03:20:00 PM,-1.000,-0.125,0.500,1.125,0.0,82.8,120.0,
162,04/16/21 03:20:30 PM,-1.125,0.025,0.100,1.130,0.0,91.4,95.7,
163,04/16/21 03:21:00 PM,-1.025,0.200,0.050,1.046,0.0,101.5,92.9,
164,04/16/21 03:21:30 PM,-1.075,-0.175,0.100,1.094,0.0,79.9,95.7,
165,04/16/21 03:22:00 PM,-1.050,0.250,0.050,1.081,0.0,104.5,92.9,
166,04/16/21 03:22:30 PM,-0.975,0.400,0.025,1.054,12.8,113.6,91.4,
167,04/16/21 03:23:00 PM,-1.100,0.075,0.125,1.110,0.0,94.3,97.2,
168,04/16/21 03:23:30 PM,-1.075,0.000,0.175,1.089,0.0,90.0,100.1,
