"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769904, SEN S/N: 20769904)","Y Accel, g (LGR S/N: 20769904, SEN S/N: 20769904)","Z Accel, g (LGR S/N: 20769904, SEN S/N: 20769904)","Sum Vector, g (LGR S/N: 20769904, SEN S/N: 20769904)","X Tilt, ° (LGR S/N: 20769904, SEN S/N: 20769904)","Y Tilt, ° (LGR S/N: 20769904, SEN S/N: 20769904)","Z Tilt, ° (LGR S/N: 20769904, SEN S/N: 20769904)","End Of File (LGR S/N: 20769904)"
1,04/16/21 02:00:00 PM,-1.100,-0.175,0.050,1.115,0.0,79.9,92.9,
2,04/16/21 02:00:30 PM,-1.100,-0.175,0.100,1.118,0.0,79.9,95.7,
3,04/16/21 02:01:00 PM,-1.100,-0.150,0.075,1.113,0.0,81.4,94.3,
4,04/16/21 02:01:30 PM,-1.025,-1.000,-0.400,1.487,0.0,0.0,66.4,
5,04/16/21 02:02:00 PM,-1.075,-0.025,-0.075,1.078,0.0,88.6,85.7,
6,04/16/21 02:02:30 PM,-1.100,-0.050,-0.125,1.108,0.0,87.1,82.8,
7,04/16/21 02:03:00 PM,-1.075,-0.100,-0.025,1.080,0.0,84.3,88.6,
8,04/16/21 02:03:30 PM,-1.100,-0.075,-0.150,1.113,0.0,85.7,81.4,
9,04/16/21 02:04:00 PM,-1.100,-0.050,-0.075,1.104,0.0,87.1,85.7,
10,04/16/21 02:04:30 PM,-1.075,-0.075,-0.075,1.080,0.0,85.7,85.7,
11,04/16/21 02:05:00 PM,-1.100,-0.075,-0.100,1.107,0.0,85.7,84.3,
12,04/16/21 02:05:30 PM,-1.075,-0.075,-0.025,1.078,0.0,85.7,88.6,
13,04/16/21 02:06:00 PM,-1.075,-0.025,-0.025,1.076,0.0,88.6,88.6,
14,04/16/21 02:06:30 PM,-1.075,-0.100,-0.100,1.084,0.0,84.3,84.3,
15,04/16/21 02:07:00 PM,-1.100,-0.125,-0.075,1.110,0.0,82.8,85.7,
16,04/16/21 02:07:30 PM,-1.050,0.025,-0.150,1.061,0.0,91.4,81.4,
17,04/16/21 02:08:00 PM,-3.200,-1.425,0.500,3.538,0.0,0.0,120.0,
18,04/16/21 02:08:30 PM,-1.075,-0.025,-0.025,1.076,0.0,88.6,88.6,
19,04/16/21 02:09:00 PM,-1.100,-0.125,0.050,1.108,0.0,82.8,92.9,
20,04/16/21 02:09:30 PM,-1.075,-0.175,-0.050,1.090,0.0,79.9,87.1,
21,04/16/21 02:10:00 PM,-1.100,-0.100,0.025,1.105,0.0,84.3,91.4,
22,04/16/21 02:10:30 PM,-1.100,-0.125,0.025,1.107,0.0,82.8,91.4,
23,04/16/21 02:11:00 PM,-1.100,-0.200,0.000,1.118,0.0,78.5,90.0,
24,04/16/21 02:11:30 PM,-1.075,-0.075,-0.125,1.085,0.0,85.7,82.8,
25,04/16/21 02:12:00 PM,-1.050,-0.025,-0.200,1.069,0.0,88.6,78.5,
26,04/16/21 02:12:30 PM,-1.100,-0.075,0.025,1.103,0.0,85.7,91.4,
27,04/16/21 02:13:00 PM,-1.100,-0.175,-0.050,1.115,0.0,79.9,87.1,
28,04/16/21 02:13:30 PM,-1.025,0.175,-0.225,1.064,0.0,100.1,77.0,
29,04/16/21 02:14:00 PM,-1.075,-0.125,-0.025,1.083,0.0,82.8,88.6,
30,04/16/21 02:14:30 PM,-1.075,-0.125,0.000,1.082,0.0,82.8,90.0,
31,04/16/21 02:15:00 PM,-1.100,-0.150,0.025,1.110,0.0,81.4,91.4,
32,04/16/21 02:15:30 PM,-1.075,-0.150,-0.075,1.088,0.0,81.4,85.7,
33,04/16/21 02:16:00 PM,-1.050,-0.025,-0.250,1.080,0.0,88.6,75.5,
34,04/16/21 02:16:30 PM,-1.075,-0.025,-0.300,1.116,0.0,88.6,72.5,
35,04/16/21 02:17:00 PM,-1.100,-0.100,0.025,1.105,0.0,84.3,91.4,
36,04/16/21 02:17:30 PM,-1.025,-0.375,0.100,1.096,0.0,68.0,95.7,
37,04/16/21 02:18:00 PM,-1.000,-0.425,0.125,1.094,0.0,64.8,97.2,
38,04/16/21 02:18:30 PM,-1.125,-0.025,-0.175,1.139,0.0,88.6,79.9,
39,04/16/21 02:19:00 PM,-1.025,-0.050,-0.325,1.076,0.0,87.1,71.0,
40,04/16/21 02:19:30 PM,-1.100,-0.025,-0.200,1.118,0.0,88.6,78.5,
41,04/16/21 02:20:00 PM,-1.075,-0.125,-0.175,1.096,0.0,82.8,79.9,
42,04/16/21 02:20:30 PM,-1.100,-0.125,-0.075,1.110,0.0,82.8,85.7,
43,04/16/21 02:21:00 PM,-1.100,0.025,-0.150,1.110,0.0,91.4,81.4,
44,04/16/21 02:21:30 PM,-0.925,-1.025,0.075,1.383,22.3,0.0,94.3,
