"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769911, SEN S/N: 20769911)","Y Accel, g (LGR S/N: 20769911, SEN S/N: 20769911)","Z Accel, g (LGR S/N: 20769911, SEN S/N: 20769911)","Sum Vector, g (LGR S/N: 20769911, SEN S/N: 20769911)","X Tilt, ° (LGR S/N: 20769911, SEN S/N: 20769911)","Y Tilt, ° (LGR S/N: 20769911, SEN S/N: 20769911)","Z Tilt, ° (LGR S/N: 20769911, SEN S/N: 20769911)","End Of File (LGR S/N: 20769911)"
1,04/16/21 02:00:00 PM,-1.125,-0.075,0.000,1.127,0.0,85.7,90.0,
2,04/16/21 02:00:30 PM,-1.125,0.000,0.000,1.125,0.0,90.0,90.0,
3,04/16/21 02:01:00 PM,-1.125,-0.100,-0.025,1.130,0.0,84.3,88.6,
4,04/16/21 02:01:30 PM,-1.075,-0.100,0.025,1.080,0.0,84.3,91.4,
5,04/16/21 02:02:00 PM,-1.125,-0.125,0.000,1.132,0.0,82.8,90.0,
6,04/16/21 02:02:30 PM,-1.075,-0.050,-0.025,1.076,0.0,87.1,88.6,
7,04/16/21 02:03:00 PM,-1.125,-0.025,0.000,1.125,0.0,88.6,90.0,
8,04/16/21 02:03:30 PM,-1.075,0.000,0.000,1.075,0.0,90.0,90.0,
9,04/16/21 02:04:00 PM,-1.075,-0.025,0.000,1.075,0.0,88.6,90.0,
10,04/16/21 02:04:30 PM,-1.125,0.025,-0.025,1.126,0.0,91.4,88.6,
11,04/16/21 02:05:00 PM,-1.075,0.025,0.025,1.076,0.0,91.4,91.4,
12,04/16/21 02:05:30 PM,-1.075,0.025,0.025,1.076,0.0,91.4,91.4,
13,04/16/21 02:06:00 PM,-1.100,0.025,0.025,1.101,0.0,91.4,91.4,
14,04/16/21 02:06:30 PM,-1.100,0.300,-0.075,1.143,0.0,107.5,85.7,
15,04/16/21 02:07:00 PM,-1.075,0.050,-0.100,1.081,0.0,92.9,84.3,
16,04/16/21 02:07:30 PM,-1.075,0.050,-0.075,1.079,0.0,92.9,85.7,
17,04/16/21 02:08:00 PM,-1.075,0.050,-0.050,1.077,0.0,92.9,87.1,
18,04/16/21 02:08:30 PM,-1.075,0.025,0.000,1.075,0.0,91.4,90.0,
19,04/16/21 02:09:00 PM,-1.075,0.000,0.050,1.076,0.0,90.0,92.9,
20,04/16/21 02:09:30 PM,-1.100,0.000,0.075,1.103,0.0,90.0,94.3,
21,04/16/21 02:10:00 PM,-1.125,-0.025,0.025,1.126,0.0,88.6,91.4,
22,04/16/21 02:10:30 PM,-1.075,0.000,0.025,1.075,0.0,90.0,91.4,
23,04/16/21 02:11:00 PM,-1.075,0.075,0.025,1.078,0.0,94.3,91.4,
24,04/16/21 02:11:30 PM,-1.075,-0.025,0.050,1.076,0.0,88.6,92.9,
25,04/16/21 02:12:00 PM,-1.075,0.025,0.100,1.080,0.0,91.4,95.7,
26,04/16/21 02:12:30 PM,-1.075,-0.100,0.025,1.080,0.0,84.3,91.4,
