"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769902, SEN S/N: 20769902)","Y Accel, g (LGR S/N: 20769902, SEN S/N: 20769902)","Z Accel, g (LGR S/N: 20769902, SEN S/N: 20769902)","Sum Vector, g (LGR S/N: 20769902, SEN S/N: 20769902)","X Tilt, ° (LGR S/N: 20769902, SEN S/N: 20769902)","Y Tilt, ° (LGR S/N: 20769902, SEN S/N: 20769902)","Z Tilt, ° (LGR S/N: 20769902, SEN S/N: 20769902)","End Of File (LGR S/N: 20769902)"
1,04/16/21 02:00:00 PM,-1.025,-0.350,0.150,1.093,0.0,69.5,98.6,
2,04/16/21 02:00:30 PM,-1.025,-0.250,0.200,1.074,0.0,75.5,101.5,
3,04/16/21 02:01:00 PM,-1.000,-0.400,-0.125,1.084,0.0,66.4,82.8,
4,04/16/21 02:01:30 PM,-0.950,-0.550,0.200,1.116,18.2,56.6,101.5,
5,04/16/21 02:02:00 PM,-1.050,-0.200,0.100,1.074,0.0,78.5,95.7,
6,04/16/21 02:02:30 PM,-1.250,-0.450,0.000,1.329,0.0,63.3,90.0,
7,04/16/21 02:03:00 PM,-1.050,-0.275,0.025,1.086,0.0,74.0,91.4,
8,04/16/21 02:03:30 PM,-1.025,-0.100,0.025,1.030,0.0,84.3,91.4,
9,04/16/21 02:04:00 PM,-1.025,-0.150,0.075,1.039,0.0,81.4,94.3,
10,04/16/21 02:04:30 PM,-1.025,-0.250,0.025,1.055,0.0,75.5,91.4,
11,04/16/21 02:05:00 PM,-1.025,0.025,0.000,1.025,0.0,91.4,90.0,
12,04/16/21 02:05:30 PM,-1.025,-0.150,0.075,1.039,0.0,81.4,94.3,
13,04/16/21 02:06:00 PM,-1.050,-0.125,0.125,1.065,0.0,82.8,97.2,
14,04/16/21 02:06:30 PM,-1.075,-0.075,-0.175,1.092,0.0,85.7,79.9,
15,04/16/21 02:07:00 PM,-1.075,-0.125,-0.175,1.096,0.0,82.8,79.9,
16,04/16/21 02:07:30 PM,-1.025,-0.125,-0.075,1.035,0.0,82.8,85.7,
17,04/16/21 02:08:00 PM,-1.025,-0.175,0.225,1.064,0.0,79.9,103.0,
18,04/16/21 02:08:30 PM,-1.025,-0.125,0.050,1.034,0.0,82.8,92.9,
19,04/16/21 02:09:00 PM,-1.050,-0.150,0.125,1.068,0.0,81.4,97.2,
20,04/16/21 02:09:30 PM,-1.075,-0.150,-0.175,1.099,0.0,81.4,79.9,
21,04/16/21 02:10:00 PM,-1.075,-0.125,-0.125,1.089,0.0,82.8,82.8,
