"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769909, SEN S/N: 20769909)","Y Accel, g (LGR S/N: 20769909, SEN S/N: 20769909)","Z Accel, g (LGR S/N: 20769909, SEN S/N: 20769909)","Sum Vector, g (LGR S/N: 20769909, SEN S/N: 20769909)","X Tilt, ° (LGR S/N: 20769909, SEN S/N: 20769909)","Y Tilt, ° (LGR S/N: 20769909, SEN S/N: 20769909)","Z Tilt, ° (LGR S/N: 20769909, SEN S/N: 20769909)","End Of File (LGR S/N: 20769909)"
1,04/16/21 02:00:00 PM,-0.025,-0.225,0.975,1.001,88.6,77.0,167.2,
2,04/16/21 02:00:30 PM,0.000,-0.225,0.975,1.001,90.0,77.0,167.2,
3,04/16/21 02:01:00 PM,-0.075,-0.175,0.975,0.993,85.7,79.9,167.2,
4,04/16/21 02:01:30 PM,-0.075,-0.175,1.000,1.018,85.7,79.9,180.0,
5,04/16/21 02:02:00 PM,0.000,0.000,0.825,0.825,90.0,90.0,145.6,
6,04/16/21 02:02:30 PM,-0.125,-0.375,0.925,1.006,82.8,68.0,157.7,
7,04/16/21 02:03:00 PM,0.025,0.025,1.025,1.026,91.4,91.4,180.0,
8,04/16/21 02:03:30 PM,0.050,0.000,1.000,1.001,92.9,90.0,180.0,
9,04/16/21 02:04:00 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
10,04/16/21 02:04:30 PM,0.025,0.000,0.975,0.975,91.4,90.0,167.2,
11,04/16/21 02:05:00 PM,0.025,0.000,0.975,0.975,91.4,90.0,167.2,
12,04/16/21 02:05:30 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
13,04/16/21 02:06:00 PM,0.050,0.000,1.000,1.001,92.9,90.0,180.0,
14,04/16/21 02:06:30 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
15,04/16/21 02:07:00 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
16,04/16/21 02:07:30 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
17,04/16/21 02:08:00 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
18,04/16/21 02:08:30 PM,0.025,0.000,0.975,0.975,91.4,90.0,167.2,
19,04/16/21 02:09:00 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
20,04/16/21 02:09:30 PM,0.025,0.025,1.000,1.001,91.4,91.4,180.0,
21,04/16/21 02:10:00 PM,0.025,0.000,1.000,1.000,91.4,90.0,180.0,
22,04/16/21 02:10:30 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
23,04/16/21 02:11:00 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
24,04/16/21 02:11:30 PM,0.050,0.000,1.000,1.001,92.9,90.0,180.0,
25,04/16/21 02:12:00 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
26,04/16/21 02:12:30 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
27,04/16/21 02:13:00 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
28,04/16/21 02:13:30 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
29,04/16/21 02:14:00 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
30,04/16/21 02:14:30 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
31,04/16/21 02:15:00 PM,0.050,0.000,0.975,0.976,92.9,90.0,167.2,
32,04/16/21 02:15:30 PM,-0.300,0.450,0.800,0.966,72.5,116.7,143.1,
33,04/16/21 02:16:00 PM,-0.700,-0.975,0.225,1.221,45.6,12.8,103.0,
34,04/16/21 02:16:30 PM,-0.800,-0.575,0.525,1.116,36.9,54.9,121.7,
35,04/16/21 02:17:00 PM,-0.950,0.225,-0.350,1.037,18.2,103.0,69.5,
36,04/16/21 02:17:30 PM,-1.075,-0.125,0.025,1.083,0.0,82.8,91.4,
37,04/16/21 02:18:00 PM,-0.975,-0.400,-0.225,1.078,12.8,66.4,77.0,
38,04/16/21 02:18:30 PM,-1.050,-0.100,-0.100,1.059,0.0,84.3,84.3,
39,04/16/21 02:19:00 PM,-1.100,-0.100,-0.050,1.106,0.0,84.3,87.1,
40,04/16/21 02:19:30 PM,-1.050,-0.200,0.025,1.069,0.0,78.5,91.4,
41,04/16/21 02:20:00 PM,-1.050,-0.150,-0.025,1.061,0.0,81.4,88.6,
42,04/16/21 02:20:30 PM,-1.075,-0.200,0.000,1.093,0.0,78.5,90.0,
