"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769914, SEN S/N: 20769914)","Y Accel, g (LGR S/N: 20769914, SEN S/N: 20769914)","Z Accel, g (LGR S/N: 20769914, SEN S/N: 20769914)","Sum Vector, g (LGR S/N: 20769914, SEN S/N: 20769914)","X Tilt, ° (LGR S/N: 20769914, SEN S/N: 20769914)","Y Tilt, ° (LGR S/N: 20769914, SEN S/N: 20769914)","Z Tilt, ° (LGR S/N: 20769914, SEN S/N: 20769914)","End Of File (LGR S/N: 20769914)"
1,04/16/21 02:00:00 PM,-0.350,-0.150,-1.000,1.070,69.5,81.4,0.0,
2,04/16/21 02:00:30 PM,0.175,-0.150,0.975,1.002,100.1,81.4,167.2,
3,04/16/21 02:01:00 PM,0.200,-0.200,0.975,1.015,101.5,78.5,167.2,
4,04/16/21 02:01:30 PM,0.225,-0.150,0.950,0.988,103.0,81.4,161.8,
5,04/16/21 02:02:00 PM,0.100,0.100,0.975,0.985,95.7,95.7,167.2,
6,04/16/21 02:02:30 PM,0.050,0.175,0.875,0.894,92.9,100.1,151.0,
7,04/16/21 02:03:00 PM,0.075,-0.175,1.025,1.043,94.3,79.9,180.0,
8,04/16/21 02:03:30 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
9,04/16/21 02:04:00 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
10,04/16/21 02:04:30 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
11,04/16/21 02:05:00 PM,0.075,-0.075,0.975,0.981,94.3,85.7,167.2,
12,04/16/21 02:05:30 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
13,04/16/21 02:06:00 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
14,04/16/21 02:06:30 PM,0.075,-0.075,0.975,0.981,94.3,85.7,167.2,
15,04/16/21 02:07:00 PM,0.075,-0.075,0.975,0.981,94.3,85.7,167.2,
16,04/16/21 02:07:30 PM,0.050,-0.100,0.975,0.981,92.9,84.3,167.2,
17,04/16/21 02:08:00 PM,0.075,-0.075,0.975,0.981,94.3,85.7,167.2,
18,04/16/21 02:08:30 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
19,04/16/21 02:09:00 PM,0.075,-0.075,1.000,1.006,94.3,85.7,180.0,
20,04/16/21 02:09:30 PM,0.050,-0.125,1.000,1.009,92.9,82.8,180.0,
21,04/16/21 02:10:00 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
22,04/16/21 02:10:30 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
23,04/16/21 02:11:00 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
24,04/16/21 02:11:30 PM,0.075,-0.075,0.975,0.981,94.3,85.7,167.2,
25,04/16/21 02:12:00 PM,0.075,-0.075,0.975,0.981,94.3,85.7,167.2,
26,04/16/21 02:12:30 PM,0.075,-0.075,0.975,0.981,94.3,85.7,167.2,
27,04/16/21 02:13:00 PM,0.075,-0.100,0.975,0.983,94.3,84.3,167.2,
28,04/16/21 02:13:30 PM,-0.025,0.775,0.800,1.114,88.6,140.8,143.1,
29,04/16/21 02:14:00 PM,0.925,0.075,-0.375,1.001,157.7,94.3,68.0,
30,04/16/21 02:14:30 PM,2.125,0.525,-0.675,2.291,180.0,121.7,47.5,
31,04/16/21 02:15:00 PM,-0.975,0.025,0.150,0.987,12.8,91.4,98.6,
32,04/16/21 02:15:30 PM,-1.050,-0.025,-0.075,1.053,0.0,88.6,85.7,
33,04/16/21 02:16:00 PM,-1.025,-0.225,0.100,1.054,0.0,77.0,95.7,
34,04/16/21 02:16:30 PM,-1.075,-0.125,0.275,1.117,0.0,82.8,106.0,
35,04/16/21 02:17:00 PM,-1.050,0.000,0.200,1.069,0.0,90.0,101.5,
36,04/16/21 02:17:30 PM,-1.025,-0.125,0.200,1.052,0.0,82.8,101.5,
37,04/16/21 02:18:00 PM,-1.025,-0.250,0.125,1.062,0.0,75.5,97.2,
38,04/16/21 02:18:30 PM,-1.025,-0.350,0.175,1.097,0.0,69.5,100.1,
39,04/16/21 02:19:00 PM,-1.675,-0.400,-0.025,1.722,0.0,66.4,88.6,
40,04/16/21 02:19:30 PM,-1.000,-0.500,0.050,1.119,0.0,60.0,92.9,
41,04/16/21 02:20:00 PM,-1.075,-0.100,0.025,1.080,0.0,84.3,91.4,
42,04/16/21 02:20:30 PM,-0.750,0.650,0.675,1.200,41.4,130.5,132.5,
43,04/16/21 02:21:00 PM,-1.075,-0.075,0.075,1.080,0.0,85.7,94.3,
44,04/16/21 02:21:30 PM,-0.950,-0.450,0.225,1.075,18.2,63.3,103.0,
45,04/16/21 02:22:00 PM,-1.000,-0.300,-0.100,1.049,0.0,72.5,84.3,
46,04/16/21 02:22:30 PM,-1.050,0.200,0.175,1.083,0.0,101.5,100.1,
47,04/16/21 02:23:00 PM,-0.925,-0.650,-0.075,1.133,22.3,49.5,85.7,
48,04/16/21 02:23:30 PM,-0.925,-0.350,0.350,1.049,22.3,69.5,110.5,
49,04/16/21 02:24:00 PM,-1.000,-0.275,0.325,1.087,0.0,74.0,109.0,
50,04/16/21 02:24:30 PM,-1.025,-0.375,0.200,1.110,0.0,68.0,101.5,
51,04/16/21 02:25:00 PM,-0.950,-0.300,0.300,1.040,18.2,72.5,107.5,
52,04/16/21 02:25:30 PM,-1.025,-0.250,0.050,1.056,0.0,75.5,92.9,
53,04/16/21 02:26:00 PM,-1.075,-0.075,0.125,1.085,0.0,85.7,97.2,
54,04/16/21 02:26:30 PM,-0.875,0.575,2.125,2.369,29.0,125.1,180.0,
55,04/16/21 02:27:00 PM,-1.050,-0.300,0.150,1.102,0.0,72.5,98.6,
56,04/16/21 02:27:30 PM,-1.025,-0.200,0.150,1.055,0.0,78.5,98.6,
57,04/16/21 02:28:00 PM,-1.025,-0.300,0.075,1.071,0.0,72.5,94.3,
58,04/16/21 02:28:30 PM,-1.050,-0.175,0.075,1.067,0.0,79.9,94.3,
59,04/16/21 02:29:00 PM,-1.025,-0.025,0.075,1.028,0.0,88.6,94.3,
60,04/16/21 02:29:30 PM,-1.025,-0.225,0.150,1.060,0.0,77.0,98.6,
61,04/16/21 02:30:00 PM,-1.025,-0.175,0.050,1.041,0.0,79.9,92.9,
62,04/16/21 02:30:30 PM,-1.025,-0.225,0.125,1.057,0.0,77.0,97.2,
63,04/16/21 02:31:00 PM,-1.025,-0.175,0.300,1.082,0.0,79.9,107.5,
64,04/16/21 02:31:30 PM,-1.075,-0.125,0.150,1.093,0.0,82.8,98.6,
65,04/16/21 02:32:00 PM,-1.050,-0.325,0.900,1.421,0.0,71.0,154.2,
66,04/16/21 02:32:30 PM,-1.075,-0.175,0.050,1.090,0.0,79.9,92.9,
67,04/16/21 02:33:00 PM,-1.050,-0.175,0.025,1.065,0.0,79.9,91.4,
68,04/16/21 02:33:30 PM,-1.025,-0.250,0.050,1.056,0.0,75.5,92.9,
69,04/16/21 02:34:00 PM,-2.050,-0.450,-0.125,2.103,0.0,63.3,82.8,
70,04/16/21 02:34:30 PM,-1.025,-0.400,0.075,1.103,0.0,66.4,94.3,
71,04/16/21 02:35:00 PM,-1.325,-0.475,-0.150,1.416,0.0,61.6,81.4,
72,04/16/21 02:35:30 PM,-2.500,-1.825,-2.050,3.713,0.0,0.0,0.0,
73,04/16/21 02:36:00 PM,-0.975,0.000,0.200,0.995,12.8,90.0,101.5,
74,04/16/21 02:36:30 PM,-1.050,-0.200,0.025,1.069,0.0,78.5,91.4,
75,04/16/21 02:37:00 PM,-1.175,-0.125,-0.200,1.198,0.0,82.8,78.5,
76,04/16/21 02:37:30 PM,-0.950,-0.250,0.275,1.020,18.2,75.5,106.0,
77,04/16/21 02:38:00 PM,-1.075,0.225,0.450,1.187,0.0,103.0,116.7,
78,04/16/21 02:38:30 PM,-1.050,0.000,-0.175,1.064,0.0,90.0,79.9,
79,04/16/21 02:39:00 PM,-0.825,-1.475,-0.250,1.708,34.4,0.0,75.5,
80,04/16/21 02:39:30 PM,-1.025,-0.025,0.100,1.030,0.0,88.6,95.7,
81,04/16/21 02:40:00 PM,-1.025,-0.175,0.150,1.051,0.0,79.9,98.6,
82,04/16/21 02:40:30 PM,-0.325,-1.550,-0.475,1.653,71.0,0.0,61.6,
83,04/16/21 02:41:00 PM,-1.075,-0.050,0.025,1.076,0.0,87.1,91.4,
84,04/16/21 02:41:30 PM,-1.450,-0.200,0.875,1.705,0.0,78.5,151.0,
85,04/16/21 02:42:00 PM,-1.000,-0.300,-0.025,1.044,0.0,72.5,88.6,
