"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 20769901, SEN S/N: 20769901)","Y Accel, g (LGR S/N: 20769901, SEN S/N: 20769901)","Z Accel, g (LGR S/N: 20769901, SEN S/N: 20769901)","Sum Vector, g (LGR S/N: 20769901, SEN S/N: 20769901)","X Tilt, ° (LGR S/N: 20769901, SEN S/N: 20769901)","Y Tilt, ° (LGR S/N: 20769901, SEN S/N: 20769901)","Z Tilt, ° (LGR S/N: 20769901, SEN S/N: 20769901)","End Of File (LGR S/N: 20769901)"
1,04/16/21 02:00:00 PM,-0.300,0.200,-0.975,1.040,72.5,101.5,12.8,
2,04/16/21 02:00:30 PM,0.050,-0.125,0.975,0.984,92.9,82.8,167.2,
3,04/16/21 02:01:00 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
4,04/16/21 02:01:30 PM,0.050,-0.050,1.000,1.002,92.9,87.1,180.0,
5,04/16/21 02:02:00 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
6,04/16/21 02:02:30 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
7,04/16/21 02:03:00 PM,-0.225,0.250,0.900,0.961,77.0,104.5,154.2,
8,04/16/21 02:03:30 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
9,04/16/21 02:04:00 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
10,04/16/21 02:04:30 PM,0.050,-0.075,0.975,0.979,92.9,85.7,167.2,
11,04/16/21 02:05:00 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
12,04/16/21 02:05:30 PM,0.025,-0.050,0.975,0.977,91.4,87.1,167.2,
13,04/16/21 02:06:00 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
14,04/16/21 02:06:30 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
15,04/16/21 02:07:00 PM,0.025,-0.050,0.975,0.977,91.4,87.1,167.2,
16,04/16/21 02:07:30 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
17,04/16/21 02:08:00 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
18,04/16/21 02:08:30 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
19,04/16/21 02:09:00 PM,0.025,-0.050,1.000,1.002,91.4,87.1,180.0,
20,04/16/21 02:09:30 PM,0.025,-0.025,0.975,0.976,91.4,88.6,167.2,
21,04/16/21 02:10:00 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
22,04/16/21 02:10:30 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
23,04/16/21 02:11:00 PM,0.025,-0.050,0.975,0.977,91.4,87.1,167.2,
24,04/16/21 02:11:30 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
25,04/16/21 02:12:00 PM,0.050,-0.100,0.975,0.981,92.9,84.3,167.2,
26,04/16/21 02:12:30 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
27,04/16/21 02:13:00 PM,0.050,-0.050,0.975,0.978,92.9,87.1,167.2,
28,04/16/21 02:13:30 PM,-0.800,-0.250,0.525,0.989,36.9,75.5,121.7,
29,04/16/21 02:14:00 PM,0.275,0.900,0.225,0.968,106.0,154.2,103.0,
30,04/16/21 02:14:30 PM,0.350,1.075,0.175,1.144,110.5,180.0,100.1,
31,04/16/21 02:15:00 PM,0.050,0.950,0.100,0.957,92.9,161.8,95.7,
32,04/16/21 02:15:30 PM,-0.150,0.100,1.050,1.065,81.4,95.7,180.0,
33,04/16/21 02:16:00 PM,-1.125,-0.275,-0.125,1.165,0.0,74.0,82.8,
34,04/16/21 02:16:30 PM,-1.075,-0.125,0.100,1.087,0.0,82.8,95.7,
35,04/16/21 02:17:00 PM,-1.075,-0.300,-0.075,1.119,0.0,72.5,85.7,
36,04/16/21 02:17:30 PM,-1.075,-0.250,-0.075,1.106,0.0,75.5,85.7,
37,04/16/21 02:18:00 PM,-1.075,-0.275,-0.075,1.112,0.0,74.0,85.7,
38,04/16/21 02:18:30 PM,-1.025,-0.250,-0.100,1.060,0.0,75.5,84.3,
39,04/16/21 02:19:00 PM,-1.050,-0.175,0.000,1.064,0.0,79.9,90.0,
40,04/16/21 02:19:30 PM,-1.075,-0.275,-0.075,1.112,0.0,74.0,85.7,
41,04/16/21 02:20:00 PM,-1.075,-0.250,-0.100,1.108,0.0,75.5,84.3,
42,04/16/21 02:20:30 PM,-1.075,-0.250,-0.050,1.105,0.0,75.5,87.1,
43,04/16/21 02:21:00 PM,-1.075,-0.275,-0.025,1.110,0.0,74.0,88.6,
44,04/16/21 02:21:30 PM,-1.075,-0.175,-0.125,1.096,0.0,79.9,82.8,
45,04/16/21 02:22:00 PM,-1.075,-0.100,-0.175,1.094,0.0,84.3,79.9,
46,04/16/21 02:22:30 PM,-1.050,-0.125,-0.050,1.059,0.0,82.8,87.1,
47,04/16/21 02:23:00 PM,-1.100,-0.100,-0.025,1.105,0.0,84.3,88.6,
48,04/16/21 02:23:30 PM,-1.050,-0.125,0.000,1.057,0.0,82.8,90.0,
49,04/16/21 02:24:00 PM,-1.050,-0.100,0.000,1.055,0.0,84.3,90.0,
50,04/16/21 02:24:30 PM,-0.975,-0.400,-0.150,1.064,12.8,66.4,81.4,
51,04/16/21 02:25:00 PM,-1.075,-0.225,-0.125,1.105,0.0,77.0,82.8,
52,04/16/21 02:25:30 PM,-1.050,-0.175,-0.100,1.069,0.0,79.9,84.3,
53,04/16/21 02:26:00 PM,-1.075,-0.250,-0.175,1.117,0.0,75.5,79.9,
54,04/16/21 02:26:30 PM,-1.050,-0.175,-0.025,1.065,0.0,79.9,88.6,
