"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 10216801, SEN S/N: 10216801)","Y Accel, g (LGR S/N: 10216801, SEN S/N: 10216801)","Z Accel, g (LGR S/N: 10216801, SEN S/N: 10216801)","Sum Vector, g (LGR S/N: 10216801, SEN S/N: 10216801)","X Tilt, ° (LGR S/N: 10216801, SEN S/N: 10216801)","Y Tilt, ° (LGR S/N: 10216801, SEN S/N: 10216801)","Z Tilt, ° (LGR S/N: 10216801, SEN S/N: 10216801)","End Of File (LGR S/N: 10216801)"
1,04/16/21 03:00:00 PM,-0.950,0.100,-0.075,0.958,18.2,95.7,85.7,
2,04/16/21 03:00:30 PM,-0.900,0.200,0.100,0.927,25.8,101.5,95.7,
3,04/16/21 03:01:00 PM,-0.975,0.050,0.025,0.977,12.8,92.9,91.4,
4,04/16/21 03:01:30 PM,0.700,1.375,0.300,1.572,134.4,180.0,107.5,
5,04/16/21 03:02:00 PM,-0.875,0.325,-0.025,0.934,29.0,109.0,88.6,
6,04/16/21 03:02:30 PM,-0.950,0.225,-0.025,0.977,18.2,103.0,88.6,
7,04/16/21 03:03:00 PM,-1.575,0.275,0.125,1.604,0.0,106.0,97.2,
8,04/16/21 03:03:30 PM,-0.900,0.225,0.075,0.931,25.8,103.0,94.3,
9,04/16/21 03:04:00 PM,-0.975,0.125,-0.075,0.986,12.8,97.2,85.7,
10,04/16/21 03:04:30 PM,-0.975,0.125,-0.075,0.986,12.8,97.2,85.7,
11,04/16/21 03:05:00 PM,-0.975,0.125,-0.150,0.994,12.8,97.2,81.4,
12,04/16/21 03:05:30 PM,-0.975,0.100,-0.025,0.980,12.8,95.7,88.6,
13,04/16/21 03:06:00 PM,-1.000,-0.075,-0.275,1.040,0.0,85.7,74.0,
14,04/16/21 03:06:30 PM,-0.900,0.300,-0.300,0.995,25.8,107.5,72.5,
15,04/16/21 03:07:00 PM,-1.000,-0.100,-0.300,1.049,0.0,84.3,72.5,
16,04/16/21 03:07:30 PM,-0.900,0.075,-0.475,1.020,25.8,94.3,61.6,
17,04/16/21 03:08:00 PM,-0.950,0.025,-0.300,0.997,18.2,91.4,72.5,
18,04/16/21 03:08:30 PM,-1.700,1.700,1.525,2.847,0.0,180.0,180.0,
19,04/16/21 03:09:00 PM,-0.600,-0.800,-0.475,1.107,53.1,36.9,61.6,
20,04/16/21 03:09:30 PM,0.075,-0.275,-1.175,1.209,94.3,74.0,0.0,
21,04/16/21 03:10:00 PM,-0.575,1.325,0.925,1.715,54.9,180.0,157.7,
22,04/16/21 03:10:30 PM,-0.900,-0.400,-0.200,1.005,25.8,66.4,78.5,
23,04/16/21 03:11:00 PM,-0.950,-0.200,-0.325,1.024,18.2,78.5,71.0,
24,04/16/21 03:11:30 PM,-0.975,-0.075,-0.350,1.039,12.8,85.7,69.5,
25,04/16/21 03:12:00 PM,-0.950,-0.100,-0.500,1.078,18.2,84.3,60.0,
