"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 10461640, SEN S/N: 10461640)","Y Accel, g (LGR S/N: 10461640, SEN S/N: 10461640)","Z Accel, g (LGR S/N: 10461640, SEN S/N: 10461640)","Sum Vector, g (LGR S/N: 10461640, SEN S/N: 10461640)","X Tilt, ° (LGR S/N: 10461640, SEN S/N: 10461640)","Y Tilt, ° (LGR S/N: 10461640, SEN S/N: 10461640)","Z Tilt, ° (LGR S/N: 10461640, SEN S/N: 10461640)","End Of File (LGR S/N: 10461640)"
1,04/16/21 02:00:00 PM,-0.025,0.000,0.950,0.950,88.6,90.0,161.8,
2,04/16/21 02:00:30 PM,0.025,-0.175,0.925,0.942,91.4,79.9,157.7,
3,04/16/21 02:01:00 PM,0.025,-0.125,0.950,0.959,91.4,82.8,161.8,
4,04/16/21 02:01:30 PM,0.025,-0.150,0.950,0.962,91.4,81.4,161.8,
5,04/16/21 02:02:00 PM,0.025,-0.100,0.900,0.906,91.4,84.3,154.2,
6,04/16/21 02:02:30 PM,0.125,0.025,0.925,0.934,97.2,91.4,157.7,
7,04/16/21 02:03:00 PM,0.100,0.000,0.950,0.955,95.7,90.0,161.8,
8,04/16/21 02:03:30 PM,0.075,-0.125,0.950,0.961,94.3,82.8,161.8,
9,04/16/21 02:04:00 PM,0.100,-0.125,0.925,0.939,95.7,82.8,157.7,
10,04/16/21 02:04:30 PM,0.100,-0.075,0.950,0.958,95.7,85.7,161.8,
11,04/16/21 02:05:00 PM,0.100,-0.100,0.925,0.936,95.7,84.3,157.7,
12,04/16/21 02:05:30 PM,0.075,-0.125,0.950,0.961,94.3,82.8,161.8,
13,04/16/21 02:06:00 PM,0.075,-0.125,0.925,0.936,94.3,82.8,157.7,
14,04/16/21 02:06:30 PM,0.075,-0.125,0.950,0.961,94.3,82.8,161.8,
15,04/16/21 02:07:00 PM,0.075,-0.125,0.950,0.961,94.3,82.8,161.8,
16,04/16/21 02:07:30 PM,0.100,-0.100,0.950,0.960,95.7,84.3,161.8,
17,04/16/21 02:08:00 PM,0.075,-0.100,0.950,0.958,94.3,84.3,161.8,
18,04/16/21 02:08:30 PM,0.075,-0.100,0.950,0.958,94.3,84.3,161.8,
19,04/16/21 02:09:00 PM,0.075,-0.100,0.925,0.933,94.3,84.3,157.7,
20,04/16/21 02:09:30 PM,0.100,-0.075,0.950,0.958,95.7,85.7,161.8,
21,04/16/21 02:10:00 PM,0.100,-0.125,0.950,0.963,95.7,82.8,161.8,
22,04/16/21 02:10:30 PM,0.100,-0.100,0.950,0.960,95.7,84.3,161.8,
23,04/16/21 02:11:00 PM,0.100,-0.100,0.950,0.960,95.7,84.3,161.8,
24,04/16/21 02:11:30 PM,0.100,-0.100,0.950,0.960,95.7,84.3,161.8,
25,04/16/21 02:12:00 PM,0.100,-0.100,0.925,0.936,95.7,84.3,157.7,
26,04/16/21 02:12:30 PM,0.075,-0.100,0.950,0.958,94.3,84.3,161.8,
27,04/16/21 02:13:00 PM,0.225,0.525,2.025,2.104,103.0,121.7,180.0,
28,04/16/21 02:13:30 PM,-0.925,0.125,0.100,0.939,22.3,97.2,95.7,
29,04/16/21 02:14:00 PM,-0.875,-0.425,0.250,1.004,29.0,64.8,104.5,
30,04/16/21 02:14:30 PM,-0.625,-0.600,0.925,1.267,51.3,53.1,157.7,
31,04/16/21 02:15:00 PM,-1.000,-0.225,-0.075,1.028,0.0,77.0,85.7,
32,04/16/21 02:15:30 PM,-0.975,-0.350,-0.225,1.060,12.8,69.5,77.0,
