"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 10216816, SEN S/N: 10216816)","Y Accel, g (LGR S/N: 10216816, SEN S/N: 10216816)","Z Accel, g (LGR S/N: 10216816, SEN S/N: 10216816)","Sum Vector, g (LGR S/N: 10216816, SEN S/N: 10216816)","X Tilt, ° (LGR S/N: 10216816, SEN S/N: 10216816)","Y Tilt, ° (LGR S/N: 10216816, SEN S/N: 10216816)","Z Tilt, ° (LGR S/N: 10216816, SEN S/N: 10216816)","End Of File (LGR S/N: 10216816)"
1,04/16/21 02:00:00 PM,0.375,0.050,0.850,0.930,112.0,92.9,148.2,
2,04/16/21 02:00:30 PM,0.075,-0.175,-1.175,1.190,94.3,79.9,0.0,
3,04/16/21 02:01:00 PM,0.075,-0.125,-1.175,1.184,94.3,82.8,0.0,
4,04/16/21 02:01:30 PM,0.075,-0.175,-1.175,1.190,94.3,79.9,0.0,
5,04/16/21 02:02:00 PM,0.075,-0.175,-1.125,1.141,94.3,79.9,0.0,
6,04/16/21 02:02:30 PM,0.075,-0.150,-1.125,1.137,94.3,81.4,0.0,
7,04/16/21 02:03:00 PM,0.050,-0.125,-1.125,1.133,92.9,82.8,0.0,
8,04/16/21 02:03:30 PM,0.075,-0.075,-1.175,1.180,94.3,85.7,0.0,
9,04/16/21 02:04:00 PM,0.075,-0.125,-1.175,1.184,94.3,82.8,0.0,
10,04/16/21 02:04:30 PM,0.075,-0.075,-1.125,1.130,94.3,85.7,0.0,
11,04/16/21 02:05:00 PM,0.075,-0.075,-1.125,1.130,94.3,85.7,0.0,
12,04/16/21 02:05:30 PM,0.075,-0.075,-1.125,1.130,94.3,85.7,0.0,
13,04/16/21 02:06:00 PM,0.075,-0.125,-1.175,1.184,94.3,82.8,0.0,
14,04/16/21 02:06:30 PM,0.075,-0.125,-1.175,1.184,94.3,82.8,0.0,
15,04/16/21 02:07:00 PM,0.075,-0.125,-1.175,1.184,94.3,82.8,0.0,
16,04/16/21 02:07:30 PM,0.075,-0.125,-1.125,1.134,94.3,82.8,0.0,
17,04/16/21 02:08:00 PM,0.075,-0.075,-1.175,1.180,94.3,85.7,0.0,
18,04/16/21 02:08:30 PM,0.075,-0.125,-1.175,1.184,94.3,82.8,0.0,
19,04/16/21 02:09:00 PM,0.075,-0.125,-1.125,1.134,94.3,82.8,0.0,
20,04/16/21 02:09:30 PM,0.050,-0.075,-1.125,1.129,92.9,85.7,0.0,
21,04/16/21 02:10:00 PM,0.075,-0.075,-1.175,1.180,94.3,85.7,0.0,
22,04/16/21 02:10:30 PM,0.075,-0.075,-1.175,1.180,94.3,85.7,0.0,
23,04/16/21 02:11:00 PM,0.075,-0.075,-1.175,1.180,94.3,85.7,0.0,
24,04/16/21 02:11:30 PM,0.075,-0.125,-1.175,1.184,94.3,82.8,0.0,
25,04/16/21 02:12:00 PM,0.075,-0.125,-1.125,1.134,94.3,82.8,0.0,
26,04/16/21 02:12:30 PM,0.075,-0.125,-1.175,1.184,94.3,82.8,0.0,
27,04/16/21 02:13:00 PM,0.075,-0.100,-1.175,1.182,94.3,84.3,0.0,
