"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 10461637, SEN S/N: 10461637)","Y Accel, g (LGR S/N: 10461637, SEN S/N: 10461637)","Z Accel, g (LGR S/N: 10461637, SEN S/N: 10461637)","Sum Vector, g (LGR S/N: 10461637, SEN S/N: 10461637)","X Tilt, ° (LGR S/N: 10461637, SEN S/N: 10461637)","Y Tilt, ° (LGR S/N: 10461637, SEN S/N: 10461637)","Z Tilt, ° (LGR S/N: 10461637, SEN S/N: 10461637)","End Of File (LGR S/N: 10461637)"
1,04/16/21 02:00:00 PM,0.025,-0.225,-1.100,1.123,91.4,77.0,0.0,
2,04/16/21 02:00:30 PM,-0.125,-0.500,0.825,0.973,82.8,60.0,145.6,
3,04/16/21 02:01:00 PM,-0.125,-0.475,0.825,0.960,82.8,61.6,145.6,
4,04/16/21 02:01:30 PM,-0.125,-0.475,0.825,0.960,82.8,61.6,145.6,
5,04/16/21 02:02:00 PM,-0.125,-0.400,0.975,1.061,82.8,66.4,167.2,
6,04/16/21 02:02:30 PM,0.050,-0.400,0.875,0.963,92.9,66.4,151.0,
7,04/16/21 02:03:00 PM,0.050,0.025,0.950,0.952,92.9,91.4,161.8,
8,04/16/21 02:03:30 PM,0.050,-0.075,0.950,0.954,92.9,85.7,161.8,
9,04/16/21 02:04:00 PM,0.050,-0.025,0.950,0.952,92.9,88.6,161.8,
10,04/16/21 02:04:30 PM,0.050,-0.025,0.925,0.927,92.9,88.6,157.7,
11,04/16/21 02:05:00 PM,0.050,-0.075,0.950,0.954,92.9,85.7,161.8,
12,04/16/21 02:05:30 PM,0.050,-0.075,0.925,0.929,92.9,85.7,157.7,
13,04/16/21 02:06:00 PM,0.050,-0.075,0.950,0.954,92.9,85.7,161.8,
14,04/16/21 02:06:30 PM,0.050,-0.075,0.950,0.954,92.9,85.7,161.8,
15,04/16/21 02:07:00 PM,0.050,-0.075,0.950,0.954,92.9,85.7,161.8,
16,04/16/21 02:07:30 PM,0.050,-0.075,0.925,0.929,92.9,85.7,157.7,
17,04/16/21 02:08:00 PM,0.050,-0.075,0.950,0.954,92.9,85.7,161.8,
18,04/16/21 02:08:30 PM,0.050,-0.075,0.950,0.954,92.9,85.7,161.8,
19,04/16/21 02:09:00 PM,0.050,-0.075,0.925,0.929,92.9,85.7,157.7,
20,04/16/21 02:09:30 PM,0.050,-0.025,0.975,0.977,92.9,88.6,167.2,
21,04/16/21 02:10:00 PM,-0.075,0.375,-1.000,1.071,85.7,112.0,0.0,
22,04/16/21 02:10:30 PM,-0.225,-0.925,0.350,1.014,77.0,22.3,110.5,
23,04/16/21 02:11:00 PM,0.525,0.500,-0.950,1.195,121.7,120.0,18.2,
24,04/16/21 02:11:30 PM,1.250,0.600,-0.300,1.419,180.0,126.9,72.5,
25,04/16/21 02:12:00 PM,0.250,-0.750,0.550,0.963,104.5,41.4,123.4,
26,04/16/21 02:12:30 PM,-1.200,0.025,-0.075,1.203,0.0,91.4,85.7,
27,04/16/21 02:13:00 PM,-0.800,0.600,0.125,1.008,36.9,126.9,97.2,
28,04/16/21 02:13:30 PM,-0.900,0.125,-0.500,1.037,25.8,97.2,60.0,
29,04/16/21 02:14:00 PM,-0.975,0.050,-0.400,1.055,12.8,92.9,66.4,
30,04/16/21 02:14:30 PM,-0.950,0.350,0.000,1.012,18.2,110.5,90.0,
31,04/16/21 02:15:00 PM,-1.025,-0.075,-0.375,1.094,0.0,85.7,68.0,
32,04/16/21 02:15:30 PM,-0.800,0.550,-0.150,0.982,36.9,123.4,81.4,
33,04/16/21 02:16:00 PM,-0.850,0.475,-0.025,0.974,31.8,118.4,88.6,
34,04/16/21 02:16:30 PM,-0.875,0.550,-0.075,1.036,29.0,123.4,85.7,
35,04/16/21 02:17:00 PM,-0.600,0.650,0.350,0.951,53.1,130.5,110.5,
36,04/16/21 02:17:30 PM,-0.850,0.325,-0.075,0.913,31.8,109.0,85.7,
37,04/16/21 02:18:00 PM,-0.775,0.625,0.125,1.003,39.2,128.7,97.2,
38,04/16/21 02:18:30 PM,-0.900,0.175,-0.525,1.057,25.8,100.1,58.3,
39,04/16/21 02:19:00 PM,-0.875,0.450,0.150,0.995,29.0,116.7,98.6,
40,04/16/21 02:19:30 PM,-0.975,0.250,-0.125,1.014,12.8,104.5,82.8,
41,04/16/21 02:20:00 PM,-0.625,0.650,0.375,0.977,51.3,130.5,112.0,
42,04/16/21 02:20:30 PM,-0.650,0.650,0.275,0.959,49.5,130.5,106.0,
43,04/16/21 02:21:00 PM,-0.825,0.500,-0.025,0.965,34.4,120.0,88.6,
44,04/16/21 02:21:30 PM,-0.750,0.550,0.225,0.957,41.4,123.4,103.0,
45,04/16/21 02:22:00 PM,-0.800,0.550,0.175,0.986,36.9,123.4,100.1,
46,04/16/21 02:22:30 PM,-0.975,0.425,-0.150,1.074,12.8,115.2,81.4,
47,04/16/21 02:23:00 PM,-0.900,0.375,-0.325,1.028,25.8,112.0,71.0,
48,04/16/21 02:23:30 PM,-0.900,0.450,-0.150,1.017,25.8,116.7,81.4,
49,04/16/21 02:24:00 PM,-0.925,0.400,0.025,1.008,22.3,113.6,91.4,
50,04/16/21 02:24:30 PM,-0.700,0.600,0.250,0.955,45.6,126.9,104.5,
51,04/16/21 02:25:00 PM,-0.800,0.550,-0.100,0.976,36.9,123.4,84.3,
52,04/16/21 02:25:30 PM,-0.950,-0.075,-0.525,1.088,18.2,85.7,58.3,
53,04/16/21 02:26:00 PM,-0.850,0.450,0.075,0.965,31.8,116.7,94.3,
54,04/16/21 02:26:30 PM,0.225,0.725,0.625,0.983,103.0,136.5,128.7,
55,04/16/21 02:27:00 PM,0.375,0.700,0.600,0.995,112.0,134.4,126.9,
56,04/16/21 02:27:30 PM,0.450,0.750,0.450,0.984,116.7,138.6,116.7,
57,04/16/21 02:28:00 PM,0.375,0.775,0.450,0.971,112.0,140.8,116.7,
58,04/16/21 02:28:30 PM,0.325,0.775,0.475,0.965,109.0,140.8,118.4,
59,04/16/21 02:29:00 PM,0.325,0.875,0.275,0.973,109.0,151.0,106.0,
60,04/16/21 02:29:30 PM,-0.950,0.200,-0.250,1.002,18.2,101.5,75.5,
61,04/16/21 02:30:00 PM,-0.875,0.450,-0.075,0.987,29.0,116.7,85.7,
62,04/16/21 02:30:30 PM,-0.875,0.450,-0.075,0.987,29.0,116.7,85.7,
63,04/16/21 02:31:00 PM,-0.875,0.500,-0.075,1.011,29.0,120.0,85.7,
64,04/16/21 02:31:30 PM,-0.925,0.425,-0.125,1.026,22.3,115.2,82.8,
65,04/16/21 02:32:00 PM,-0.700,0.675,-0.075,0.975,45.6,132.5,85.7,
66,04/16/21 02:32:30 PM,-0.925,0.375,-0.075,1.001,22.3,112.0,85.7,
67,04/16/21 02:33:00 PM,-0.875,0.425,-0.075,0.976,29.0,115.2,85.7,
68,04/16/21 02:33:30 PM,-0.850,0.450,-0.150,0.973,31.8,116.7,81.4,
69,04/16/21 02:34:00 PM,-0.875,0.475,-0.175,1.011,29.0,118.4,79.9,
70,04/16/21 02:34:30 PM,-0.850,0.525,0.025,0.999,31.8,121.7,91.4,
71,04/16/21 02:35:00 PM,-0.800,0.525,0.050,0.958,36.9,121.7,92.9,
72,04/16/21 02:35:30 PM,-0.875,0.450,-0.125,0.992,29.0,116.7,82.8,
73,04/16/21 02:36:00 PM,-0.850,0.450,-0.075,0.965,31.8,116.7,85.7,
74,04/16/21 02:36:30 PM,-0.825,0.500,0.075,0.968,34.4,120.0,94.3,
75,04/16/21 02:37:00 PM,-0.850,0.525,0.000,0.999,31.8,121.7,90.0,
76,04/16/21 02:37:30 PM,-0.900,0.450,-0.025,1.007,25.8,116.7,88.6,
77,04/16/21 02:38:00 PM,-0.875,0.525,0.025,1.021,29.0,121.7,91.4,
78,04/16/21 02:38:30 PM,-0.875,0.500,-0.025,1.008,29.0,120.0,88.6,
79,04/16/21 02:39:00 PM,-0.875,0.450,-0.025,0.984,29.0,116.7,88.6,
80,04/16/21 02:39:30 PM,-1.125,0.475,-0.025,1.221,0.0,118.4,88.6,
81,04/16/21 02:40:00 PM,-0.825,0.575,-0.075,1.008,34.4,125.1,85.7,
82,04/16/21 02:40:30 PM,-0.875,0.475,0.025,0.996,29.0,118.4,91.4,
83,04/16/21 02:41:00 PM,-0.875,0.500,-0.075,1.011,29.0,120.0,85.7,
84,04/16/21 02:41:30 PM,-0.875,0.500,-0.075,1.011,29.0,120.0,85.7,
85,04/16/21 02:42:00 PM,-0.875,0.500,-0.125,1.016,29.0,120.0,82.8,
86,04/16/21 02:42:30 PM,-0.900,0.350,-0.125,0.974,25.8,110.5,82.8,
87,04/16/21 02:43:00 PM,-0.925,0.400,-0.125,1.016,22.3,113.6,82.8,
88,04/16/21 02:43:30 PM,-0.875,0.475,0.075,0.998,29.0,118.4,94.3,
89,04/16/21 02:44:00 PM,-0.925,0.325,-0.075,0.983,22.3,109.0,85.7,
90,04/16/21 02:44:30 PM,-0.900,0.450,-0.050,1.007,25.8,116.7,87.1,
91,04/16/21 02:45:00 PM,-0.850,0.475,-0.150,0.985,31.8,118.4,81.4,
92,04/16/21 02:45:30 PM,-0.875,0.500,-0.025,1.008,29.0,120.0,88.6,
93,04/16/21 02:46:00 PM,-0.950,0.350,0.000,1.012,18.2,110.5,90.0,
94,04/16/21 02:46:30 PM,-0.875,0.475,-0.025,0.996,29.0,118.4,88.6,
95,04/16/21 02:47:00 PM,-0.900,0.450,-0.025,1.007,25.8,116.7,88.6,
96,04/16/21 02:47:30 PM,-0.850,0.475,-0.025,0.974,31.8,118.4,88.6,
97,04/16/21 02:48:00 PM,-0.750,0.675,-0.075,1.012,41.4,132.5,85.7,
98,04/16/21 02:48:30 PM,-0.975,0.250,0.000,1.007,12.8,104.5,90.0,
99,04/16/21 02:49:00 PM,-0.450,0.875,0.125,0.992,63.3,151.0,97.2,
100,04/16/21 02:49:30 PM,-0.875,0.425,-0.175,0.988,29.0,115.2,79.9,
101,04/16/21 02:50:00 PM,-0.875,0.425,-0.100,0.978,29.0,115.2,84.3,
102,04/16/21 02:50:30 PM,-0.975,0.225,-0.100,1.006,12.8,103.0,84.3,
103,04/16/21 02:51:00 PM,-0.825,0.525,-0.100,0.983,34.4,121.7,84.3,
104,04/16/21 02:51:30 PM,-0.875,0.500,-0.075,1.011,29.0,120.0,85.7,
