"#","Date Time, GMT-07:00","X Accel, g (LGR S/N: 10622051, SEN S/N: 10622051)","Y Accel, g (LGR S/N: 10622051, SEN S/N: 10622051)","Z Accel, g (LGR S/N: 10622051, SEN S/N: 10622051)","Sum Vector, g (LGR S/N: 10622051, SEN S/N: 10622051)","X Tilt, ° (LGR S/N: 10622051, SEN S/N: 10622051)","Y Tilt, ° (LGR S/N: 10622051, SEN S/N: 10622051)","Z Tilt, ° (LGR S/N: 10622051, SEN S/N: 10622051)","End Of File (LGR S/N: 10622051)"
1,04/16/21 01:00:00 PM,-0.150,-0.900,0.400,0.996,81.4,25.8,113.6,
2,04/16/21 01:00:30 PM,-0.150,-0.925,0.425,1.029,81.4,22.3,115.2,
3,04/16/21 01:01:00 PM,-0.150,-0.900,0.425,1.007,81.4,25.8,115.2,
4,04/16/21 01:01:30 PM,-0.150,-0.925,0.425,1.029,81.4,22.3,115.2,
5,04/16/21 01:02:00 PM,0.025,-0.300,0.925,0.973,91.4,72.5,157.7,
6,04/16/21 01:02:30 PM,-0.075,-0.200,0.975,0.998,85.7,78.5,167.2,
7,04/16/21 01:03:00 PM,-0.075,-0.075,1.000,1.006,85.7,85.7,180.0,
8,04/16/21 01:03:30 PM,-0.075,0.050,1.000,1.004,85.7,92.9,180.0,
9,04/16/21 01:04:00 PM,-0.075,0.050,1.000,1.004,85.7,92.9,180.0,
10,04/16/21 01:04:30 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
11,04/16/21 01:05:00 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
12,04/16/21 01:05:30 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
13,04/16/21 01:06:00 PM,-0.100,0.075,0.975,0.983,84.3,94.3,167.2,
14,04/16/21 01:06:30 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
15,04/16/21 01:07:00 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
16,04/16/21 01:07:30 PM,-0.100,0.075,1.000,1.008,84.3,94.3,180.0,
17,04/16/21 01:08:00 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
18,04/16/21 01:08:30 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
19,04/16/21 01:09:00 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
20,04/16/21 01:09:30 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
21,04/16/21 01:10:00 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
22,04/16/21 01:10:30 PM,-0.100,0.075,1.000,1.008,84.3,94.3,180.0,
23,04/16/21 01:11:00 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
24,04/16/21 01:11:30 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
25,04/16/21 01:12:00 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
26,04/16/21 01:12:30 PM,-0.075,0.075,1.000,1.006,85.7,94.3,180.0,
